source_file,paragraph_id,text,language,length
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,1,"arms, 628mm ‘Aga Posoning Special Pet Toples-Merck Veterinary Manual",en,68
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE \AMeRcK,de,17
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Envenenamiento por algas,es,60
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por Wayne W. Carmichael, PhD, Universidad Estatal de Wright Revisado en octubre de 2020 | Modlficado en septiembre de 2024",es,122
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,6,"La intoxicacién por algas es una afeccién grave y mortal causada por la proliferacién de algas verdeazuladas tdxicas en el agua, tanto potable como agricola, recreativa y aculcola. Se producen muertes y enfermedades graves en ganado, mascotas, fauna silvestre, aves y peces fen todo el mundo. La intoxicacién suele ocurrir durante las estaciones célldas, cuando las floraciones de algas en el agua son mas grandes y duraderas. La mayorla de las intoxicaciones se observan en animales que beben agua dulce infestada de algas. I tamafio del animal ya sensiblidad de la especie influyen en el grado de intoxicacién. Dependiendo de la densidad de las floraciones y el contenido de toxinas, los animales pueden necesitar ingerir desde unas ppocas onzas hasta varios galones de agua para intoxicarse.",es,794
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,7,"‘Mas de 20 especies de algas verdeazuladas, praductoras de diversas toxinas, se han asociado con floraciones acudticas téxicas. Algunas especies de algas producen toxinas que dafian el tejido nervioso. Otras producen toxinas que dafian el higado, otras dafian tanto el tejido nervioso como el higado. La muerte se produce en pacas horas cuando el sistema nervioso se",es,366
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,8,ve afectado porque los animales dejan de respirar. La insuficiencia hepatica causa la muerte en,es,95
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,9,pocos dias.,pt,11
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,10,"Un animal afectado puede presentar tembiores musculares, diarrea acuosa o sanguinolenta, difcultad para respirary entrar en coma antes de morir. Se puede observar una mancha verdosa de algas en la boca, la nariz, as patas y los pies. Cuando el telido nervioso se ve afectado, os sintomas progresan desde espasmos musculares hasta disminucion del ‘movimiento, respiracién abdominal, un tinte azulado en la piel las mucosas, convulsiones y ‘muerte. Los sintomas en las aves son similares e incluyen espasmos en los masculos de la espalda, lo que provoca que la cabeza y las patas se doblen hacia atrés el tronco se arquee hacia adelante. En animales mas pequefios, los movimientos de salto suelen ocurrir antes de",es,711
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,11,‘nepsuoeu mercvetmanualconispeipettopes/paioning/algl planing,it,61
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,12,"arms, 628m ‘Aga Posoning Special Pet Toples- Merck Veterinary Manual ‘mori. En los caballos que sobreviven a un envenenamiento repentino, la narz, las orejas y la espalda se vuelven sensibles a a luz, seguido de pérdida de pelo y descamacién dela piel",es,251
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,13,"Los animales afectados deben trasladarse a una zona protegida,alejada de la luz solar directa y del suministro de agua contaminada, Se debe proporcionar abundante agua y allmento de ‘buena calidad. Los animales supervivientes tienen buenas posiblidades de recuperacion. La administracién de carbén activado en suspension puede ser beneficiosa poco despues de la Ingestién de la toxina,",es,385
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,14,"Es fundamental mantener alos animales alejados del suministro de agua afectado. Sino hay tro suministro de agua disponible, se debe permitir que los animales beban solo de las zonas costeras que se mantengan libres (gracias alos vientos dominantes) de espumas superfciales ddensas de algas. Las clanabacterias se pueden controlar afadiendo sulfato de cobre u otros tratamientos alguicidas al agua. sulfa de cobre es ideal para prevenir la formacién de floraciones, y se debe tener cuidado de evitar el agua que contenga células de algas muertas, ya sea por el tratamiento con alguicidas o por el envejecimiento natural de la flora. Esto se debe a que Ia toxina se lbera en el agua tras la descomposicién de las paredes celulares limcactas de las algas. El uso de alguicidas debe cumplir con las normativas locales de registro ambiental y quimico.",es,846
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,15,Para mas informacion,es,20
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,16,‘Ver también contenido profesional sobre intoxicacién por algas en animales,es,75
Algal Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,17,‘nepsuoun merchvetmanualconispecipettopes/pioning/algl planing,it,62
