source_file,paragraph_id,text,language,length
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"arms, 607m ‘AeglesinDogs-Dog Owners Merck Veterinary Manual",en,59
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Alergias en los perros,es,58
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Stephen D. White, DVM, DACVD , Universidad de Calforni, Davis; Karen A. Morielo , DVM, DACVD, Departamento de Clencias Médicas, Facultad de Medicina Veterinaria, Universidad de Wisconsin-Madison",es,198
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,"Revisado en junio de 2018 | Modificado en septiembre de 2024 Aligual que las personas, los perros pueden ser alérgicos a diversas sustancias, como particulas de plantas y otras sustanclas presents en el aire o en los alimentos. Estas sustancias se denominan alérgenos. Los alérgenos son sustanclas que, al inhalarse o absorberse a través dela pie! las vas respratorias o el tracto gastrointestinal, estimulan el sistema inmunitarioy la Nberacién de histamina y otras sustanclas. Esto provoca inflamadién, cuyos signes incluyen enrojecimiento de la piel eritema}, hinchazén (edema) y picazén (prurit).",es,600
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,Alergias transmitidas por el aire (atopia o dermatitis atépica canina),pt,70
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Se cree que os perros estan genéticamente predispuestos a sensibilzarse alos alérgenos del ambiente. Tanto los perros machos como las hembras pueden ser alérgicos a los materiales en el aire. Las razas predispuestas a desarrollaralergiasincluyen Shar-Pei Chino, Fox Terrier de Pelo Duro, Golden Retriever, Dalmatas, Boxers, Boston Terriers, Labrador Retrievers, Lhasa Apso, Scottish Terriers, Shih Tzus y West Highland White Terriers. Sin embargo, cualquier perro de ‘cualquier raza (orazas mixtas) puede ser alérgco. La edad de inicio es generalmente entre los 6 ‘meses y los 3 afios. Los signos suelen ser estacionales, pero pueden observarse durante todo el afte, ELpicor es el signo mas tipico. Los ples, la cara, las oreas, las patas delanteras y el abdomen son las Sreas mas frecuentemente afectadas, pera el rascado en todo el cuerpo es comin. £1 rascado puede llevar a signos secundarios de heridas, costras, nfecciones de piely ofdo, pérdida de pelo y descamacién, Otros signos de atopla incluyen lamerse o morderse las patas yfrotarse la carayy los ojos. La piel es el principal foco de la dermatitis atépica, pero aproximadamente el 15 % de los perros afectados también desarrollan inflamacién dentro de la nari (rinks) y asma, Las",es,1242
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,"tpt merchvtmanus comidog-onnersikn orders dog abergesin-doge#Food Aegis, 2207010",nl,80
Allergies in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"arms, 607m ‘AeglesinDogs-Dog Owners Merck Veterinary Manual Infecclones de ofdo prolongadas o recurrentes pueden ser el nico sintoma en un pequesio rndmero de perros.",es,166
