source_file,paragraph_id,text,language,length
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"armas, 1234 Mt ‘ehavor Problems in Dags- Dag Owners- Merck eernary Maal",en,71
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Problemas de comportamiento en los perros,es,77
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por GaryM. Landsberg. 8Sc, DVM, MRCVS, DACVB, DECAWAM, Clinica Veterinaria Especializada en Comportamienta del Norte de Taranto",es,127
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en febrero de 2018 | Modificado en septiembre de 2024,es,62
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,Problemas de conducta asociados con la agresion,es,47
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Los problemas de comportamiente més comunes en los perros se asocian con la agresién. En la rmayoria de los casos, el perro intenta dstanciarse dela situacion. Existen muchos tipos de comportamiento agresivo con diferentes motivaciones, pero generalmente intervienen el miedo, la ansledad, la incertidumbre conflicto}, la herencia (genética) y el aprendizaje previo, Debido al riesgo de lesiones y al riesgo de agravamlenta de la agresién, es importante buscar ayuda veterinaria en cuanto se presenten signos de agresién. Al principio, los duefios suelen evitar las situaclones que desencadenan el comportamiento anormal, Tras implementar técicas de tratamiento, las situaciones problematicas podrian reintroducirse gradualmente segdn las recomendaciones del vterinario responsable.",es,782
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,"La agresién por miedo ocurre en situaciones que asustan a un perro. El miedo causa la mayorla de los tipos de agresién. Los perros temerosos pueden intentar evitar la amenaza desencadenante, pero pueden volverse agresivos cuando no pueden escapar (por ejemplo, cuando estin atados, acorralados 0 sujetados), cuando estén motivados a quedarse (por ejemplo, la proximidad a un familar, una propiedad o comida) o cuando aprenden que actuar ‘agresivamente puede eliminar a amenaza. Los animales que aprenden que la agresién",es,519
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"funciona"" para eliminar amenazas pueden actuar agresivamente incluso cuando no se sienten amenazados. La soclalizacién deficient, el temperamento (hereditario de los padres), los castigos previosy el aprendizaje también pueden provacar agresién por miedo.",es,255
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,np mertvetmanuaconidog-oaners/behair of dogsibehavorpotiemsindogs#Other Canine Gehavr Preblems 520064216,en,104
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"armas, 1234 Mt ‘Behavior Problems inDegs- Dog Owners- Merck Veterinary Manal La agresién relacionada con la comida se muestra en torne a alimentos para maseotas, huesos, cuero crudo, galletas 0 comida humana en perros que no han sido privados de comida ni rmaltratades,",es,269
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"La agresién idlopatica no tiene causa conocida. Es impredecible y ne provocada. Este tipo de agresign es extremadamente taro,",es,125
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,"La agresién por control de impulsos , también llamada agresién irritable o por conflicto, es luna amenaza 0 ataque que muestran los perros hacia las personas en cualquier crcunstancia que Implique lacorreccién de su comportamiento por parte de su duefo. El dlagnéstico de este problema es dif y no puede basarse en un solo evento. La agresién hacia miembros dela famila a menudo se denomina erréneamente agresion por dominio. Sin embargo, a agresién hacia miembros de la farila se debe con mayor frecuencia al miedo, la agresién posesiva, la conducta redirgida 0 el conficto (es decir, el perro desea dos actividades opuestas ala vez). Las situaclones que suelen provacar la agresién del perro incluyen la estricién fisica y el control de la comida, los juguetes o los lugares de descanso.",es,789
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,"La agresion entre perros es aquella drigda a otros perros. El objetivo puede ser otra perro dela casa o perros que se encuentran fuera de ella,",es,143
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,"Laagresién materna es la agresin excesiva de una perra hacia personas, otros perros 0 sus cachorros. Un poco de agresion puede ser normal, especialmente en la 6poca del destete. Un rive alto de agresién puede dafiar alos cachortos. La agresién deberia remitir después de que los cachorros dejen de mamar. Este comportamiento también puede presentarse en hembras con embarazos falsos y deberia remitir después de que los niveles hormonales se narmalicen, Este comportamiento anormal puede ser hereditari.",es,503
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,17,"La agresién por dolor es una reaccién defensiva que se produce cuando un perro sente dolor. Puede ocurrir cuando un perro anticpa ser movido o tocado. Disfunciones organicas (renales o hhepaticas), enfermedades neurolégicas y trastornos hormonales (de las glindulas suprarrenales, sexuales 0 tiroideas) también pueden provocar agresién. Por esta raz6n, los veterinarios descartan causas médicas de la agreslén,",es,410
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,18,"Laagresién Iddica se produce junto con conductas Kidicas, como reverencias, persecuciones y lembestidas. Contrariamente a creencias previas l juego enérgico entre humanos y perros (por ejemplo, era y afoja) no necesariamente produce agresion lidica,",es,249
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,19,La agresién posesiva se dirge constantemente hacia otro individuo que se acerca o intenta ‘obtener un objeto no comestible on juguete que el perro posee.,es,153
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,20,"La agresién predatoria es un comportamiento asoclado con la depredacién (por ejemplo, acechar, cazar y capturar animales pequefios). Suee ser un ataque sllencioso y repentino, que Implica una mordida fero2 y una sacudida de la presa,",es,233
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,21,"nepsuwenmerhvetmanualconidog-omner/behair of dagalbehadorprobiemsin dogstOther Canine Schaar Preble, 3200642",nl,108
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,22,"armas, 1234 Mt ‘Behavior Problems inDegs- Dog Owners- Merck Veterinary Manal La agresién protectora es el intenta del perro de proteger a su dueho del acercamiento de otra persona, en ausencia de una amenaza real por parte de esta. La agresién se intensifica a medida aque la otra persona se acerca,",es,299
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,23,"La agresién redirigida ocurre cuando se impide que un perro alcance su objeto. El ataque se dirge entonces a otro perro o persona. La agresién no es accidental y el perro perseguirs activamente al segundo perro o persona, especialmente si estin directamente relacionados con la interrupelén del ataque del perro a su primer objetivo.",es,333
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,24,"La agresién territorial consiste en proteger un lugar, como un patio © un coche, de la aproximacién de otro perro o persona. Incluye acciones como perseguir, grr, ladrar o morder. El perro territorial reacciona independientemente de sel individuo que se acerca actia de forma amenazante ono.",es,291
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,25,"‘También pueden presentarse otros tipos de agresividad en perros. En casos rares, la agresividad puede deberse a una infeccién, toxicidad o efectos secundarios de un medicamento,",es,178
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,26,Tratamiento,it,11
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,27,"Eltratamiento de la agresividad canina suele ser complejo y, idealmente, deberia ser disefiado por un especialista, Evitarsituaciones que provoquen la agresividad siempre es recomendable y puede ayudar a reducir el riesgo de mordeduras. Casi sin excepcién, el castigo fisico,incluyendo el uso de collares de pias y collares de descargas eléctricas, puede empeorar la agresividad de un perro. Estas técnicas no se recomiendan, especialmente sin supervision profesional",es,467
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,28,Problemas de conducta asociados con la eliminacién,es,50
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,29,"La miccién por excitacién es la iberacién de una pequefia cantidad de orina que ocurre cuando ln perro esté active y exctado, pero no tlene miedo.",es,146
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,30,"Eladiestramiento incompleto consiste en la evacuacién constante en lugares indeseables, sin estar asociada a la alta de acceso ni a una enfermedad, Entre las By 9 semanas de edad, los perros emplezan a desarrollar el habito de evacuar en certos lugares, por lo que es importante prestar atencién temprana al adiestramiento",es,322
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,31,"El comportamiento de marcaje consiste en orinar o defecar para enviar una sefial social. Por {eJemplo, los perros machos suelen levantar una pata para orinar pequettas cantidades en cercas, Arboles u otras abjetos. Esto puede ser un intento de reclamar el area como su terttorio @ simplemente una forma de avisar a otros perros que han estado all recientemente. Algunos perros marcan cuando visitan nuevos hogares, generalmente para disimular los olores de otros animales. Por lo general, os perros levantan las patas parcial o totalmente al marcar. Es mas ‘oman en machos no castrados, pero las hembras (tanto esterlizadas como no eastradas) y los perros castrados también pueden marca.",es,687
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,32,"nepsuwenmerhvetmanualconidog-omner/behair of dagalbehadorprobiemsin dogstOther Canine Schaar Preble, 3200642",nl,108
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,33,"armas, 1234 Mt ‘Behavior Problems inDegs- Dog Owners- Merck Veterinary Manal La miccién sumisa ocurre en un perro que, por lo demés, estd adiestrado solo cuando muestra posturas asociadas con la sumisién (por ejemplo, cabeza baja y orejas hacia atris). £1 perro no ‘muestra signos de miedo nl agresién.",es,302
Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,34,Tratamiento,es,11
