source_file,paragraph_id,text,language,length
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,1,Compendio de enfermedades de los caninos y felinos domésticos,es,61
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,2,{UNIVERSIDAD NACIONAL DE La PLATA,it,33
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,3,COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMESTICOS,de,65
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,4,Mario César Brusa (coordinador),pt,31
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,5,2014,unknown,4
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,6,"Esta obra esta dedicada especialmente a los estudiantes del Curso de Enfermedades de los Canines y Felinos Domésticos de la Facultad de Ciencias Veterinarias de la Universidad Nacional de La Plata,",es,197
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,7,No se puede desatar un nudo sin saber cémo esté hecho.,es,54
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,8,Aristoteles,fi,11
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,9,INDICE,id,6
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,10,Pretacio Capitulo 1. Traumatologia,it,34
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,11,Mario C. Brusa,pt,14
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,12,Capitulo 2. Enfermedades infecciosa en felinos,es,46
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,13,Leticia Zutriategui,it,19
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,14,Capitulo 3. Enfermedades infecciosas en caninos,es,47
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,15,Luciana Svarzman,es,16
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,16,Capitulo 4. Enfermedades cardiovasculares,es,41
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,17,Mariana Tértora Paula Blanco,pt,28
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,18,Capitulo 5. Enfermedades del sistema misculo esquelético Mario C. Brusa,es,71
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,19,Capitulo 6. Hernias,ro,19
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,20,‘Adrian Dell Oso,no,16
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,21,Capitulo 7. Enfermedades del sistema nervioso,es,45
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,22,Alicia N. del Amo,ca,17
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,23,Capitulo 8. Enfermedades de! sistema endécrino,pt,46
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,24,Alicia N. del Amo,ca,17
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,25,Capitulo 8. Enfermedades del aparato respiratorio,es,49
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,26,Luciana Svarzman - Leticia Zufriategui,ca,38
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,27,Capitulo 10. Enfermedades del aparato urinario,es,46
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,28,Javier Mouly,en,12
COMPENDIO DE LAS ENFERMEDADES DE LOS CANINOS Y FELINOS DOMÉSTICOS.pdf,29,"Capitulo 11. Enfermedades de los ojos, pérpados y anexos Gustavo Zapata",es,71
