source_file,paragraph_id,text,language,length
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"arms, $05 Deafness in Dogs-Dog Overs Merck Veterinary Manual",en,60
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE \AMeRcK,de,17
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Sordera en perros,en,53
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por George M. Strain, PhD , Departamento de Ciencias Biomédicas Comporativas, Facultad de Medicina Veterinaria, Universidad Estatal de Luisiana",es,143
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en junio de 2018 | Modificado en septiembre de 2024,es,60
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"La sordera puede ser congénita (presente al nacer) o adquirida como resultado de una Infeccién, un traumatisme o una degeneracién de la céclea (el 6rgano de la audicién).",es,170
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"La sordera al nacer puede ser hereditaria o resultar de dafios t6xicos 0 virales en el cachorro fen desarrollo, Los colores merle y blanco se asocian con la sordera al nacer en perros y otros animales. Las razas de perros coménmente afectadas incluyen el dalmata, el bull terrier, heeler australiano, el catahoula, el cocker spaniel inglés, el parson russell terrier y el boston terrier. La lista de razas afectadas (actualmente aproximadamente 100) continua expandiéndose y podria cambiar debido ala popularidad de la raza y ala eliminacién del efecto mediante la cra selectiva",es,578
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,La sordera adquirida puede ser consecuencia de a obstruccién del conducto auditiv externa debido a una inflamacién prolongada (otitis externa )o a un exceso de cerumen. También puede ocurrir debido a una ruptura del timpano o a una inflamacién del oldo medio o interno. La audicién suele recuperarse una vez que se resuelven estas afecciones.,es,342
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"Las causas permanentes de sordera adquirda Incluyen traumatismos en la porcién dura del hhueso temporal que rodea el aldo interno, ruldos fuertes (por ejemplo, disparos),afecciones con pérdida o destrucci6n de mielina (la sustancla grasa que rodea algunas células nerviosas), farmacos toxicos para el ofdo (por ejemplo, antbisticos aminoglucésidos o aspirina), anestesia, tumores que afectan el oido o el tronco encefalico y degeneracién de lacéclea en perros de edad avanzada, En algunos de estos casos, es posible la sordera de un ofdo, la pérdida aucitva parcial o ambas. La degeneracién de la céclea en perros de edad avanzada es la causa mas ‘comin de sordera adquirida,",es,675
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,nepsuvwua merhvetmanuaconidog oomersiearorders-dogsldeatness dos 12,af,67
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"aims, $05 Deafness in Dogs-Dog Owmers- Merck Veterinary Manus! El dlagnéstico de la sordera requiere una observacién minuciosa de la respuesta del animal al sonido, La respuesta al tacto, el olfato los objetos visibles debe diferenciarse de la respuesta al sonido. En animales j6venes o en grupos, la sordera puede ser dficl de detectar, ya que el Individuo evaluado seguir la respuesta de los demas miembros del grupo. Sise observa al animal solo, después de una edad en la que las respuestas al sonido son predecibles {alrededor de 3 a 4 semanas en los perros), se puede detectar la sordera,",es,593
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"El principal signo de sordera es la incapacidad de responder a un sonido; por ejemplo, el ruido no despierta a un perro dormido ono detecta el origen del sonido. Otros signas incluyen comportamiento inusual, como ladridos excesivos, voz inusual, hiperactividad, confusion al recibir 6rdenes vocalesy fata de movimiento de las orejas. Un animal que se ha vuelto sordo gradualmente, como en la vejez, puede volverse insensible a su entorno y negarse a responder 2 la llamada de su duet.",es,484
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,"La sordera unilateral es dificil de detectar, excepto mediante una observacién minuciosa 0 ‘mediante pruebas diagn6sticas electrénicas que puede realizar un veterinario. £1 examen del ido externo con un otoscopio (instrumento que permite al veterinario ver el interior del conducto auditivo externa), radiografias, tomografia computarizada (TC), resonancia magnética (AM) y un examen neurolégico pueden revelar la causa, especialmente en casos de sordera adquirida. Las pruebas electrénicas son utiles para evaluar la audicién en cachorros de razas con tendencia a la sordera al nace.",es,584
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,"La sordera causada por una obstruccién del conducto aualtve externo suele responder al tratamiento médico 0 quirtrgico adecuado. Esta sordera no suele ser completa. La sordera causada por infecciones bacterianas del oido medio e interno puede responder al tratamiento con antibiéticas. ila sordera se debe a ruidos intensos y persistentes 0 a un traumatismo, la recuperacin es improbable. La recuperacién de la sordera causada por farmacos téxicos para eloldo es poco frecuente",es,477
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,"La sordera hereditaria puede ellminarse de una raza ellminando a los portadores identiicables del programa de cra,",es,114
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,17,"Los perros sordos no parecen experimentar dolor ni molestias debido a esta afeccién. Sin embargo, culdar a un perro sordo de ambos ofdos requiere mas dedicacién que tener un perro fyente, Estas perros son mas propensos a asustarse, lo que puede provocar mordeduras. ‘Ademds, estdn menos protegidos de ciertos peligros, como los vehiculos motorizados.",es,350
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,18,Ver también contenido profesional sobre la sordera,es,50
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,19,© MERCK ozs WEE Wye Ton nec sen,en,31
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,20,nepsuoa merhvetmanuaconidog oomersiearordersdogsldeatnessi dogs,da,63
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,21,"arms, $05 Deafness in Dogs-Dog Overs Merck Veterinary Manual",en,60
Deafness in Dogs - Dog Owners - Merck Veterinary Manual.pdf,22,nepsuvwua merhvetmanuaconidog oomersiearorders-dogsldeatness dos,nl,64
