source_file,paragraph_id,text,language,length
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,anne rom Dexcrption of Dags- ag Owners - Merck eternary Maal,en,60
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE Ww MERCK,pl,18
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Descripci6n de los perros,es,61
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Matalie Antinoff, DVM, DABVP (Préctca avian) , Texas Avian & Exotic Hospital Revisado por Joyce Carnevale , DVM, DABVP , Facultad de Medicina Veterinaria, Universidad Estatal de lowa",es,186
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en mayo de 2025 | Modificado en septiembre de 2025,es,59
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"Los perros son parientes de los lobes y han acompafiado a las personas durante miles de anes. nicialmente, se uiizaban como ayudantes en el trabajo y para proteger alas personas. Hoy en dia, desempefian diversas funclones, como ayudar a personas con discapacidades, encontrar drogas ilegales, Buscar supervivientes tras desastres e incluso detectar enfermedades como el cancer. Pero la funcién mas importante de los perros es ser ‘compafieros leales de las personas",es,465
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"‘Aunque los perros se ven muy diferentes a las personas, comparten algunas caractersticas corporates. Tienen corazén para bombear sangre, pulmones para respirar y estémago para procesar los alimentos.",es,200
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,Los perros son companeros maraullasos y tienen necesidades y caracteristcas Gnicas que los convierten en amigas especiales para las personas.,es,141
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,zQué tamaiio tienen la mayoria de los perros?,es,45
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,"Los perros vienen en todos las tamafios y formas: ‘+ Las razas mas pequefias, como el caniche toy y el chihuahua, pesan solo alrededor dea 10 ibras (aproximadamente 2,5 a 45 kilogramos).",es,186
Description of Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"‘© Los perros de tamafio mediano incluyen muchos terriers y spaniels, que pesan. entre 10y $0 lbras (aproximadamente 4 a 23 klogramos).",es,135
