source_file,paragraph_id,text,language,length
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"arnas, 230° ‘bagnosng Behavior Problems in Dogs - Dog Owners: Marck Veterinary Mana",en,83
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE Ww MERCK,pl,18
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Diagnostico de problemas de comportamiento en perros,es,88
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Gary M. Landsberg , BSc, DVM, MRCVS, DACVB, DECAWEM , Clinica Veterinaria Especializada en Comportamiento del Norte de Toronto",es,130
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en febrero de 2018 | Modlficado en septiembre de 2024,es,62
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"‘Muchos de los problemas de ""salud que enfrentan los perros domésticos estan asociados con problemas de comportamiento 0 expectativas no cumplidas sobre el comportamiento de la ‘mascota, Su veterinario primero deberd descartar cualquier posible problema de salud que pueda estar causando que el comportamiento de su mascota cambie. Por ejemplo, una condicién médica podria estar causando que su mascota orine en la casa. Su veterinario tomard un historial de comportamiento antes de hacer cualquler diagnéstico. Un historial de comportamiento generalmente incluye lo siguiente: 1) el sexo, la raza y la edad del perro; 2) la edad al inicio de la condicién; 3) la duracién dela condicién; 4) una deseripcién del comportamiento real; 5) la frecuencia del comportamiento problematico (cada hora, diariamente, semanalmente, mensualmente); 6) la duracién de un episodio tipico (segundos, ‘minutos, horas); 7) cualquier cambio en el patrén, la frecuencia la intensidad y la duracién de los episodios; 8) cualquier medida correctivaintentada y la respuesta; 9) cualquier actividad que detuvo el comportamiento (por ejemplo, el perro se queda dormido}; 10) el horario de 24 hhoras del perro y del duet asf como cualquier cambio diaro; 11) a historia familiar del perro (en otras palabras, hay signos de problemas similares en los padres o hermanos de camada del perro?) 12) el entorno y la vivienda del perro; y 13) cualquier otra cosa que el duefio considere relevance.",es,1462
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Usted y su veterinario deben considerar el ABC del problema de comportamienta. .Qué sucede antes de! comportamiento (el antecedente )? ;Cusl es el comportamiento ? Qué sucede iamediatamente despues (las eonsecuencias J?Debido a que los comportarnientos pueden cambiar a medida que los perros aprenden y maduran, su veterinario también considerara cdma comenz6 iniialmente el problema,",es,384
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,"armas, waa ‘agnosing Behavior Problems In Dogs- Dog Owners- Merck Veterinary Manu Laatencién veterinaria moderna incluye preguntas de deteccién rutinarias sobre quejas de comportamiento especificas, como mordidas inapropiadas o indeseables, gruidos 0 comportamiento extrafo, ademas de preguntas rutinarias que alertan a su veterinario sobre posibles problemas médicos. Esta evaluaci6n rutinaria ayuda a determinar qué es normal para su perro. isu veterinario no le pregunta sobre problemas de comportamiento, asegurese de ‘mencionarlos usted mismo, Desafortunadamente, muchos duefios no informan a sus veterinarios sobre los problemas de comportamiento, y estos problemas son una de las principales razones por las que las mascotas son regaladas 0 sacrificadas.",es,761
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"Dado que los diagnésticos de comportamiento no pueden basarse en un evento nico, los ddueios de mascotas pueden completar un cuestionario en cada vista para identificar los paatrones de comportamiento del perro. Su veterinario puede entonces identifica si las sefales (ladridos, grufidos, embestidas) crean un patrén que cumple con criterios dlagnésticos specific, como la agresién por miedo o la agresién protectora  consulte Problemas de comportamiento asociados con la agresién en perros ). Tanto usted como su veterinario ddeben usar las mismas definiciones para las mismas sefiales inespecificas. Adernds, ambos deben reconocer y describir con precisién las comportamientos preocupantes.",es,692
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,"Un video de! comportamiento de su perro puede ayudar a que su veterinario haga un dlagnéstico preciso. El cuestionario se basa en su descripcién y, por lo tanto, es mas subjetivo, Sin embargo, al combinario con el video, su veterinario puede usar cuestionarios para diagnosticar problemas de comportamiento. Al identificar los comportamientos que provacan estan asociados con los problemsticos, puede evitar o prevenir la situacion que los origina. Al ver el comportamiento problematico en video, su veterinario puede colaborar con usted para tratar laafeccién.",es,561
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,tpt merchvtmanus con/dog-onnersroehevir of oqsdiagnosing beer problems dogs,en,75
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"armas, 123M ‘agnosing Behavior Problems In Dogs- Dog Owners- Merck Veterinary Manu",en,82
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,Dénde obtener ayuda,es,19
Diagnosing Behavior Problems in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,"Los duefs que buscan ayuda para un problema de comportamiento con su mascota pueden recurrir a varias fuentes. La Asociacién Médica Veterinaria Americana reconace diversas especialidades dentro de la medicina veterinaria Al igual que las especialidades en ‘medicina humana, estas incluyen veterinarios certficados en cirugla, medicina interna, oftalmologia cuidado de los ojos), dontologia, comportamiento y muchas otras areas de especializacién. La mayoria de los veterinarios especiaistas en comportamiento certificadas trabajan en facultades de veterinaria o en consultorios privados.",es,587
