source_file,paragraph_id,text,language,length
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,1,"airs, 627° Diagnosis Falsoning Spel Pe Toples-Merck Veterinary Manual",en,69
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE ae Ww MERCK So,en,24
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Diagnostico de intoxicaci6n,it,63
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por Steve M. Ensley, DVM, PhD , Departamento de Anatomia y Fisiologia Facultad de Medicina Veterinaria, Universidad Estatal de Kansas",es,133
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,6,Revisado en octubre de 2020 | Modlficado en septiembre de 2024,es,62
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,7,"El dlagnéstico de intoxicaci6n se basa en la historia clinica, los signos, los cambios en los tejidos y los analisis de laboratorio. Es importante proporcionar a su veterinario una historia clinica completa para que pueda realizar un diagnéstico preciso e iniciar el tratamiento adecuado. Debe tener a mano la siguiente informacion: 1) sexo, edad, peso y ndmero de animales lexpuestos 0 enfermos; 2) una lsta de los signos de enfermedad en el orden en que aparecieron; 3) cualquier enfermedad previa; 4) cualquier medicamento que esté recibiendo el animal; 5) posibies eventos relacionados, por ejemplo, cambios en la dietao la fuente de agua, otros medicamentos, aditivos alimentarios o aplicaciones de pesticidas; 6) descripcién del tentorno, incluyendo el acceso a basura, maquinaria 0 vehiculos; y7) ubicaciones pasadas recientes y cuando se produjo un traslado geogréfico (si corresponde).",es,894
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,8,Para mas informacion,es,20
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,9,Ver también contenidos profesionales sobre diagnéstico de intoxicaciones en animales,es,84
Diagnosis of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,10,npn merchvemanualcon/speci pet opc/paisening/sagnosi of poring,en,62
