source_file,paragraph_id,text,language,length
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"arms, som Disorders ofthe Outer Earn Dogs - Day Onners- Merck Veterinary Manual",en,79
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE \AMeRcK,de,17
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Trastornos del ofdo externo en perros,es,73
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Sheila ME Torres, DVM, MS, PRD, DACVD , Dermatologia, Facultad de Medicina Veterinaria, Universidad de Minnesota",es,116
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en junio de 2018 | Modificado en septiembre de 2024,es,60
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"Diversas afecciones cuténeas afectan la parte externa del ofdo, llamada pabellén auricular. La ‘mayoria de las afecciones también causan cambios en los teidos de otras partes del cuerpo. En raras ocasiones, una enfermedad afecta solo el ofdo externo 0 lo afecta primero. Como ‘ocurre con todas las afecciones cutaneas, el diagnéstico se realiza mejor combinando los resultados de una historia clinica completa, una exploracinfisica y cuténea completa, y pruebas diagnésticas cuidadosamente seleccionadas.",es,504
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Los insectos y pardsitos suelen causar inflamacién del pabellén auricular (lo que produce enrojecimiento, hinchazén, picazén o ampollas), ya sea por dafio directo de la picadura del pardsito 0 por hipersensibilidad. Los diminutos acaros de lapel se esconden bajo la piel del pperro, a menudo en los bordes de las orejas, y pueden causar picaz6n intensa. Debido a su difcultad para verlos y encontrarlos, el veterinario podria tomar varios raspados de piel antes de hacer un diagnéstic. El tipo de insecto 0 pardsito que causa lainflamacién varia segtn la estacin, el entorno y la ubicacién geogrfica. Entre ellos se incluyen garrapatas, mosquitos, ‘moscas y pulgas. EI tratamiento incluye el control de los insectas o pardsitos en el entorno, Insecticidas, repelentes y medicamentos para reducir la inflamacion y la picaz6n.",es,824
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,Celulitis juvenil canina La cells javenicanina es una infeccién e,ca,65
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,Inflamaclén de los tejidos subcuténeos de los perros j6venes. Es un trastorno poco comin en,es,91
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,nepsuwu merhvetmanualcomidog owner orders of dogsidsordesof the outer ean dogs,en,78
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"arms, som Disorders ofthe Over Earn Dogs- Dog Ouners-Merck Veterinary Mandal cachorros y se caracteriza por la aparicién de pequenas areas redondas y elevadas de piel Inflamada y lena de pus en la cara y las ores. Los ganglioslinfaticos debajo de la mandioula Inferior suelen estar notablemente agrandades, Se presenta en cachorros de 3 semanas a4 ‘meses de edad y rara vez en animales mayores. Los golden retrievers os setters Gordon y los teckels parecen tener mayor riesgo que otras razas. Es comin que la plel del canal ausitivo esté Inflamada,llena de pus y elevada, junto con el pabellén auricular hinchado y engrosado. ‘Algunos perros también dejan de comer, presentan letargo o fiebre, Se recomlenda un tratamiento temprano para evitarcicatrices. Una observacién culdadosa del estado de sus cachorros le ayudara a detectar cualquier masa 0 bulto en la cara o las orejas. Cualquier bulto 0 masa, incluso pequefio, es una buena razén paara llevar a su cachorro a una revisién lo antes posible.",es,999
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"Acaros del oido, perro",es,22
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,Alergias,et,8
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,"Las alergias causadas por alérgenos ambientales (como dcaros del polvo, polen o moho) 0 alimentarios son comunes en las perros y con frecuencia causan enrojecimiento y picazén en las orejas. Las alergias suelen provocar infecciones del conducto ausitivo externo, que pueden lextenderse al pabellon auricular (o{do externo). Otras partes del cuerpo (cara, axlas, ingles y patas) también suelen verse afectadas. Los veterinarios dlagnostican las alergias basandose en los signos y el historial del perro, descartando otras causas. Las alergiasalimentarias se dlagnostican o descartan mediante una dieta estricta, que debe seguir estrictamente las Indicaciones del veterinario. El tratamiento incluye inyecciones antalérgicas (inmunoterapia specifica para alérgenos),tratamientos para infecciones de a piel yofdo, cambios en la dieta y ‘medicamentos. Las alergias son afecciones a largo plazo que suelen requerir tratamiento de por vida,",es,934
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,Dermatitis de contacto del ofdo,es,31
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,17,"En algunos perros, la parte interna y sin pelo del pabellén auricular puede inflamarse & lnrtarse tas la aplicacion de clertos unguentos 0 medicaments. Esta inflamacién, denominada dermatitis de contacto , puede aparecer entre 1 y 7 dias después de iniciar el",es,259
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,18,napa mercivtmanus con/dog-ownerier-Gtrdersodopidsordersofthe cuter enindogs,en,75
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,19,"arms, som Disorders ofthe Over Ear n.Dogs-Doy Onners-Merck Veterinary Manual tratamiento. La piel del pabellon auricular puede enrojecerse e hincharse, y presentar protuberancias o lagas. Algunos perros también presentan picazén o dolor. Los veterinarlos suelen tratar esta afeccién suspendiendo todos los unguentos u otros medicarentos tépicas. Es poco probable que cambiar a un nuevo unguento ayude, ya que la mayoria de los productos contienen ingredientes inactivos similares.",es,480
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,20,Hematomas en el oido,es,20
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,21,"Los hematomas éticas son hinchazones llenas de liquide que se desarrollan en la superficie Interna del pabellén auricular de los perros. Se desconace su causa, pero suele deberse a sacudidas de cabeza o rascado de orejas debido al picar. En los perros, esta afeccién se ‘observa en casos de alergias ambientales o alimentaria, en las que los conductos auditivos son los principales focos de inflamacién y picor. El tratamiento suele consistr en cirugia para drenar y limpiar las hinchazones. Con frecuencia, el veterinario colocaré un drenaje con un tubo blando en la zona para evitar la acumulacién de liquide. También se pueden recetar medicamentes.",es,651
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,22,Picaduras de insectos,es,21
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,23,"Las picaduras de mosquitos, moscas y pulgas pueden causarinflamacién de la piel (dermatitis) del olde. Es un problema mundial que varia sega la estacin y el entorno. Afecta tipicamente ‘2 perros, gatos  caballos. La picadura del insecto causa pequefas protuberanclas duras y redondas, y zonas elevadas y enrojecidas con costras sanguinolentas centrales que pican. Se ‘observan cambios en el tejido en las puntas o en la superficie plegada de las orejas externas de los perros con orejas caldas. EI tratamiento incluye repelentes de moscas, control dela poblacin de moscas mediante la limpieza ambiental (como la eliminacin del estércol) ¢ Insecticidas. En ocasiones, también se requieren medicamentos.",es,701
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,24,Congelacién,es,11
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,25,"La congelacién puede ocurrr en perros poco adaptados a climas frios y es mas probable en condiciones de humedad 0 viento. Suele afectar las zonas del cuerpo con poca proteccién, como las puntas de las orejas, las patas y la cola. La piel puede estar palida o enrojecida, hinchada y dolorosa. En casos graves, puede producirse muerte del teido y desprendimiento de las puntas de las orejas. El tratamiento consiste en un calentamiento rdpido y suave, y culdados de apoyo. Puede ser necesaria la amputacién de las 2onas afectadas, pero debe posponerse hasta que se determine a extensién del teido vivo.",es,600
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,26,napa mercivtmanus con/dog-ownerier-Gtrdersodopidsordersofthe cuter enindogs a7,en,78
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,27,"arms, som Disorders ofthe Over Earn Dogs -Doy Onners-Merck Veterinary Manual",en,76
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,28,Pérdida de cabello,es,18
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,29,"En los perros se presentan varios trastornos de la plel del borde de la oreja caracterizados por la pérdida de pelo (alopecia). La pérdida periédica de pelo en la oreja externa en los caniches ‘miniatura implica la pérdida de pelo en las superficies curvas externas de la oreja. La pérdida de pelo comienza repentinamente y progresa durante varios meses, pero el pelo puede volver ‘a crecer esponténeamente. No hay otros signas. No es necesario tratamiento,",es,457
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,30,"Se ha reportado pérdida de pelo en la oreja (calvcie de patron) en perros salchicha, chihuahuas, galgos italanos y whippets,y se cree que es hereditara. El pelaje comienza a adelgazarse cuando el perro tiene menos de un afto, la pérdida completa del pelo en la oreja puede ocurrir entre os 8 ylos 9 alos. Otras zonas comiinmente afectadas son el cuello, el ppecha y los muslos. No hay otras sintomas, No se ha reportado ningin tratamiento eficaz, pero clertos medicamentos pueden ser ttle.",es,489
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,31,"La pérdida de pelo con oscurecimiento significativo de la ple! (hiperpigmentacién) se presenta tanto en el pabellén auricular camo en el puente nasal en las Yorkshire Terriers y los Doberman Pinschers. La cola y las patas también pueden verse afectadas. Generalmente se detecta por primera vez entre los 6 meses y ls 3 afios de edad, la afeccién empeora con la edad. La pérdida de pelo no suele remitiry no existe tratamiento,",es,426
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,32,Enfermedades inmunomediadas,es,27
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,33,"Varias enfermedades inmunomediadas (como el pénfigo foliiceo, el pénfigo eritematoso, las reacciones a farmacos, la necrélisis epidérmica toxicay la vasculitis) pueden afectar el oido cexterno y el conducto auditivo externa. Otras zonas del cuerpo suelen verse afectadas, como las almohadillas plantares, las mucosa las uniones entre la pel y las mucosas, las ufiasy los lechos ungueales, y la punta dela cola. Las enfermedades inmunomediadas se confirman ‘mediante blopsias de la lesiones primarias.",es,500
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,34,Sarna,sv,5
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,35,"La sarna sarcéptica es una enfermedad infecciasa de lapel causada por un caro pardsito que se infltra en las capas superficiales de la piel. Es comiin en perros de todo el mundo. La ~afeccién comienza con pequefias protuberanclas rojas y redondas en la plel Estas protuberancias pueden progresar a descamacién, formacién de costras yllagas ablertas, lrvtadas y en carne viva en los bordes de las orejas y otras partes del cuerpo como resultado del rascado; sin embargo, en algunos casos solo se observan las protuberancias rojas y la",es,533
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,36,napa mercivtmanus con/dog-ownerier-Gtrdersodopidsordersofthe cuter enindogs a,en,77
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,37,"arms, som Disorders ofthe Over Ear n.Dogs-Doy Onners-Merck Veterinary Manual picazén. La picazén es intensa. La transmisién del Scaro se produce por contacto directo con animales infectados u objetos contaminados (como la ropa de cama}",es,235
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,38,"El dlagnéstico se basa en los signos, el historia de exposicién y la deteccién de acaros en ‘multiples raspados de piel. Las opciones de tratamiento incluyen barhos, inyecciones y ‘medicamentos tapicos y orales. Su veterinario podra recetar el mejor tratamiento para su ‘mascota, Dado que los dcaros pueden sobrevivr fuera del huésped durante un tiempo variable, toda a ropa de cama, cepllos y objetos del entorno de su mascota deben limpiarse a fondo. Dado que estos acaros son altamente contagiosos, también deben tratarse otros animales domésticos.",es,551
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,39,Seborrea,en,8
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,40,"Laplel excesivamente grasa en el horde de la oreja(seborrea) es comin en los perros salchicha, aunque otras razas con orejas caidas pueden verse afectadas. Generalmente, las ppuntas de las orejas a ambos lados se ven afectadas, pero la afeccién puede progresar hasta afectar todo el borde de la oreja. Se desconoce la causa, Los sintomas incluyen escamas cerosas de color gris a amarilo adheridas a la base del pelo. Los mechones de pelo se desprenden facilmente, dejando la piel con una superficie brilante. En casos graves, los bordes de las orejas se hinchan y agrietan. Hay tratamientos disponibles que puede recetar su veterinario,",es,636
Disorders of the Outer Ear in Dogs - Dog Owners - Merck Veterinary Manual.pdf,41,Adenitis sebacea,en,16
