source_file,paragraph_id,text,language,length
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"aris, 5040 Er structure and Function in Bogs-Dog Omes- Meck Veterinary Manual",en,77
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE Ww MERCK,pl,18
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Estructura y funcion del oido en los perros,es,79
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Karen A. Moriello DVI, DACVD, Departamento de Ciencias Médicas, Facultad de Medicina Veterinaria, Universidad de Wisconsin-Madison",es,134
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en junio de 2018 | Modificado en septiembre de 2024,es,60
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"El oldo es el 6rgano de la audicién y del equilbrio. sta compuesto por el oido externo, el oido ‘medio y el oldo interno.",es,121
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"£1 ofdo externo incluye el pabellén auricular (la parte visible, hecha de cartilago y cubierta de piel, pelo o vello)y el conducto aucitivo externo. El pabellén auricular tiene una forma que capta las ondas sonoras y las canaliza a través del conducto auditive externo hasta el timpano. En los perros, los pabellones auditivos son méviles y pueden moverse independientemente. El tamafioy la forma de los pabellones auditivos varian segin la raza. El conducto auditivo cexterno del perro es mucho mas profundo que el de las personas y crea un mejor embudo paara transportar el sonido hasta el timpano. Un perro promedio puede ofr aproximadamente cuatro veces mejor que una persona promedio, incluso sonides de frecuenclas mas alas que las que puede detectar el ofdo humano.",es,772
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,"El ofeo medio incluye el timpano y una pequefla cémara lena de aire que contiene tres hhuesecilos: el martillo, el yunque y el estribo. También incluye des musculos, fa ventana oval y la trompa de Eustaquio (un pequefio conducto que conecta el ofdo medio con la parte posterior de lanariz, permitiendo la entrada de aire),",es,322
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,£1 ofdo interno es una estructura compleja que incluye la céclea (el 6rgano de a audicin)y el sistema vestibular (el 6rgano del equiloro).,es,138
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,nepsoaua mertvetmanua conidog oonersiear orders of dogslerstructureand function dogs,en,84
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"arms, S04 {Structure and Funcon in Bogs-Dog Ones- Merck Veterinary Manual",en,73
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,Dentro de la oreja de un perro,es,30
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,ermmer a Sasaneg,no,16
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,feat tbe opening,en,16
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,Examen fisico del ofdo,es,22
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,17,"Las infecciones de ofdo y otros trastornes auaitves son comunes en los perros. Su veterinario ‘examinara los oldos de su perro en cada revision de rutina. Si el perro tiene antecedentes de Infecciones de oldo u otros problemas de oido, debe proporcionarle esta informacion,",es,273
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,18,"ara comenzar, el veterinario inspeccionaré visualmente los ofdos externos, detectando cualquier signo de inflamacién, lesién por traumatismo, hinchaz6n, secreciones 0 exceso de cerumen. A continuacién, utlizara un otoscoplo para observar el conducto auditivo externo y el timpano. En algunos casos, puede ser necesario retirar el pelo de los conductos audltvos para que el veterinario pueda ver claramente el timpano.",es,417
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,19,"Sise sospecha una infeccién, se realizardn analisis de muestras de liquide o secreciones del ldo para determinar los microorganismos implicados y el tratamiento adecuado. Las Infecciones en perros suelen estar causadas por bacterias 0 levaduras. En ocasiones, se ‘observa un crecimiento excesivo de teido 0 el desarrollo de un tumor.",es,333
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,20,nepsoaua merhvetmanua conidog oonersiear orders of dogslerstructreand function dogs,en,83
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,21,"arms, soem {Er stucture and Function in Bogs-Dog anes- Merck Veterinary Manual Para diagnosticar un tumor de oido, puede ser necesario realizar una biopsia de tejdo para su evaluacién. Es posible que se requleran pruebas adicionales, como radiografias, tomografias computarizadas (TO), resonancias magnéticas (RM), pruebas neurologicas y pruebas electrénicas para confirmar ciertas afecciones, como la sordera.",es,410
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,22,Para mas informacion,es,20
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,23,Ver también contenido profesional sobre la estructura de la oreja de un perro,es,77
Ear Structure and Function in Dogs - Dog Owners - Merck Veterinary Manual.pdf,24,tpt. mercivtmanue con/tog-onmerstear orders doalertrutrtand uncon dope,en,70
