source_file,paragraph_id,text,language,length
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,1,"217s, 626°m Fst ald tora Pet- Specal Pet Topics Merck eternay Manu",en,66
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE NY,de,12
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Botiquin de primeros auxilios para mascotas,pt,79
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por Jamie Textor, DVM, PhD, DACVS, DACVSMR Revisado por el personal de Manuals Revisado en diciembre de 2025",es,108
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,6,"Puedes comprar un botiquin de primeros auxilias para mascotas 0 armarlo ti mismo. Debe estar en un recipiente con tapa segura que puedas alcanzar fécilmente. Aprende a usar todo el contenido del botiquin, Se ofrecen clases de primeros auxilio y RCP para animales en muchos lugares, como la veterinaria, el colegio comunitario local ola Cruz Roja",es,345
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,7,"Un botiquin de primeros aunilios no sustituye a atencién veterinaria. £n caso de emergencia, lieve a su mascota al veterinario lo antes posible para su evaluacin y seguimiento.",es,176
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,8,Un botiquin bésico de primeros auxilios para un perro o gato debe contener:,es,75
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,9,# Bozal,hu,7
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,10,"© Suministros de vendaje (gasa, apésitos estériles, vendaje eldstico, cinta adhesiva)",es,85
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,11,Cinta adhesiva o cinta de embalaje,pt,34
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,12,Tijeras pequefas de punta roma,es,30
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,13,Peréxido de hidrégeno (3%),pt,26
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,14,Bolitas de algodén o hisopos,es,28
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,15,Solucién salina,es,15
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,16,© Unguento antibistico,it,22
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,17,Materiales de entabiillado,es,26
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,18,Pinaas 0 forceps,en,16
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,19,Jeringa de pera,id,15
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,20,"aims, 626m Fst tora Pet-Specal Pet Topics Merck eternay Manu © termémetro rectal ‘© Gelatina lubricante ‘© guantes desechables ‘© Pectina de caolin (para la diarrea leve) ** Carbon activado 0 leche de magnesia (para algunas intoxicaciones) ‘© Un pequefio suministro de cualquier medicamento que su mascota tome diariamente NOTA: Siempre consulte a su veterinario antes de darle a una mascota su ‘medicamento habitual durante una emergencia. Revise las fechas de caducidad de los medicaments al menos una ve2 al aho y reemplacelos seglin sea necesario. Siempre consulte con su veterinario antes de administrare a su mascota cualquier medicamento de venta libre.",es,660
First Aid Kit for a Pet - Special Pet Topics - Merck Veterinary Manual.pdf,21,npn merchvemanuslcon/spci petopeerergenciuestaiteorapet,it,55
