source_file,paragraph_id,text,language,length
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"arms, 607m Flea of 0095-09 Owners- Merck Veterinary Manval",en,58
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,fey VERSION PARA DUENOS DE MASCOTAS,en,35
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,Pulgas de perros,es,16
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,"Por Michael W. Dryden, DVM, PhD, DACVM , Departamento de Medicina Diagnéstica/Patobiologia, Facultad de Medicina Veterinaria, Universidad Estotal de Kansas",es,155
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,Revisado en junio de 2018 | Modificado en septiembre de 2024,es,60
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Las pulgas on pequefiosinsectos sin alas que se allmentan de sangre animal. Ademds de ser una ‘molesti, también pueden transmitir enfermedades ycausar alergas 6 anemia, Hay més de 2200 especies de pulgas reconocidasen todo el mundo. En Norteamérica, solo unas pocas especies infestan cominmente a as mascota. Dos especies comunes de pugas son la pula del gato( Clenocephaliss felis) ya pulga del perro (Ctenocephalides cons Sin embargo la mayoria de las pulgas que se encuentran tanto en perros como en gatos son pulgas de gato. Las pug causan irtacin grave en otros animales y en hummanos. También transmiten una ampla variedad de enfermedades, ncuyendo infecciones por tenia rickettsias similares al tfus",es,706
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,"Transmisién y ciclo de vida Tamafio de la pulga Las pulgas de gato comienzan a reproducirse aproximadamente uno 0 dos dias después de ingerir sangre de un huésped, Las pulgas hembra ponen huevos mientras se allmentan y se desplazan por la superficie dela piel. Una sola pulga hembra puede producir hasta 0 huevos al diay unos 2000 a lo largo de su via. Los huevos son de color blanco",es,383
Fleas of Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"perlado, avalados y diminutos. Se desprenden fécllmente del pelaje ycaen sobre la ropa de cama,",es,95
