source_file,paragraph_id,text,language,length
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,ans. 6i1 eM Fles and Mosquitoes of ngs Dog Owners - Merck etsrinay Manual,en,73
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE \A merck,hu,18
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Moscas y mosquitos de los perros,es,68
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Charles M. Hendrix, DVM, PhD , Departamento de Patobiologi, Facultad de Medicina Veterinaria, Universidad de Auburn",es,119
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en junio de 2018 | Modificado en septiembre de 2024,es,60
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"Las moscas son insectos alados que suelen ser una simple molestia, pero que pueden transmit enfermedades y causar problemas en los animales. Pertenecen a un orden grande y complejo de Insectos lamados dipteros. Las moscas varian enormemente en tamafo, preferencias alimentarias, desarrollo y hébitos. De adultas, pueden alimentarse de sangre, saliva, igrimas 0 ‘moco, También transmiten bacterias, virus y pardsites. El orden dipteras incluye no solo ala ‘mosca doméstica comin y a muchos otros insectas que comdnmente lamamos moscas, sino también a los mosquitos.",es,564
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Los clos de vida de las miles de moscas diferentes se dividen en cuatro etapas: huevo, larva (en esta etapa, las moscas parecen gusanos y se conacen ‘comdnmente como larvas), pupa (la etapa en la que la mosca se desarralla dentro de un capullo)y ‘dulto. Los hueves de mosca se depositan en carne len descomposicién, excrementas animales 0 charcos de agua estancada. La caracterstica comin de estos lugares de puesta es la presencia de abundante almento para la lavas. Las moscas se reproducen y crecen répidamente. Dependiendo de la estacion y las condiciones dimaticas, una mosca puede tardar solo de 12a 14 dias en pasar de huevo adult.",es,638
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,nepsuowa merhvetmanuaconidog ooneriinsrder of dogsiesandimasguitoes of ogstStubl Fes 3207187,af,92
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"ans. 6i1 eM Fles and Mosquitoes of Oogs Dog Owners - Merck eterinay Mandal Las moscas pieadoras se alimentan de sangre animal. Este grupo incluye mosquitos, moscas, negras, lebstomos, jejenes, tabanos, tabanos de clervo y otros. Aunque las picaduras pueden ser dolorosas y provocar reacciones alérgicas, las ‘moscas picadoras no suelen ser pelgrosas para los perros, a menos que sean muy numerosas o transmitan alguna enfermedad. Muchas de estas ‘moscas, incluyendo las moscas negras los ‘mosquitos, pican tanto a animales como a humanos.",es,538
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,Moscas que pican,es,16
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"Las moscas no picadoras incluyen aquellas que no se alimentan de sangre ni pican al animal huésped ‘mientras sealimentan. En cambio, se alimentan de secreciones corporales. Pueden transmitir enfermedades a perros y otras animales domésticos. Algunas ejemplos son las moscas de la cara, las moscas dela cabeza, las moscas que se reproducen en la suciedad (como la mosca doméstica comin) y los mosquitos oculares.",es,411
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,Blacks,sv,6
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,Mosquitos que pican,pt,19
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,"Estos diminutos insectos (de 1 a3 milimetros (0.04 a 0,16 pulgadas)) a menudo se aman mosquitos y a veces se les conoce como “jejenes"" o ""punkies Existen varias especies. Todas se asocian con habitats acudticas © semiacuaticos, como e! lado o la Moacio tierra himeda alrededor de arroyos, estanques y",es,300
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,"pantanos. Pueden causar plcaduras dolorosas y chupar la sangre tanto de humanos como de animales, incluyendo caballos y perros.",es,127
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,17,Moscas negras,pt,13
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,18,"Existen mas de 1000 especies de moscas negras. Se alimentan de humanas y de muchos tipos de animales. La mayorfa de las moscas negras son pequefia (de 1 a6 milimetros de largo), lo suficientemente diminutas como para colarse entre las mallas de muchas mosquiteras. Son mas ‘numerosas en las zonas templadias y subérticas del norte, aunque también existen especies tropicals y subtropicales. En algunos casos, enjambres de estas moscas atacan, causando ‘numerosas picaduras dolorosas incluso matando al ganado.",es,509
Flies and Mosquitoes of Dogs - Dog Owners - Merck Veterinary Manual.pdf,19,nepsuo merhvetmanuaconidog ooneriincsrder of dogsies-andimasguitoes of dogstStubl Fes 3207187 28,en,96
