source_file,paragraph_id,text,language,length
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,1,"arms, 628mm ‘Genera Treatment of Poisoning Spell Pet Topis- Marck Veterinary Marl",en,81
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE ae Ww MERCK So,en,24
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Tratamiento general de la intoxicaci6n,es,74
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,5,Revisado en octubre de 2020 | Modlficado en septiembre de 2024,es,62
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,6,"Inicialmente, podrian necesitarse medidas inmediatas para salvar la vida. Ademds, el tratamiento consiste en prevenir una mayor absorcién del veneno, proporcionar tratamiento de apoyo y administrar antidotos especificos si estan disponibles.",es,241
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,7,"Un lavado minucioso con agua y jabén suele prevenir una mayor absorcién de venenos en la piel. Si el animal tiene un pelaje largo o denso, puede ser necesario cortarle el pelo. En el caso de algunos venenos ingeridos, se puede inducir el vimito en perros y gatos. Sin embargo, 20 se recomienda el vémito si el presunto veneno podria dafar el estémago o el es6fago al ascender, sian pasado mas de unas pocas horas, sie reflejo de deglucién esté ausente, si el animal presenta convulsiones o si existe riesgo de neumonia por aspiracin(inhalacin de ‘material vomitado a los pulmones), Si el animal esta inconsciente, se puede realizar una lrrigacion gastrica con una sonda gastrica 0 puede ser necesaria una cirugia gastrica. En algunos casos, se pueden recomendar laxantes y medicamentos para evacuar los intestinos para ayudar a eliminar el veneno del tracto gastrointestinal",es,874
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,8,"Sl el veneno no se puede eliminar fisicamente, a veces se puede administrar carbén activado poor via oral para evitar una mayor absorcién en el tracto gastrointestinal",es,167
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,9,"[A menudo es necesario un tratamiento de apoyo hasta que el venena se metabolicey elimine. tipo de apoyo necesario depende del estado del animal y puede inclulr el control de las convulsiones, el mantenimiento de la respiraci6n, el tratamiento del shock, el control de problemas cardiacos (por ejemplo, latidos Irregulares) y el tratamiento del dolor.",es,351
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,10,"En algunos casos, existe un antidoto conocido para un veneno especitico,",es,72
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,11,nepsuaea merhvetmanuaconispecia pet opes/pisoning/genera treatment planing,en,74
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,12,"arms, 628m “Genera Treatment of Poisoning Spell Pet Topis- Marck Veterinary Maral",en,81
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,13,Para mas informacion,es,20
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,14,‘© Ver también contenidos profesionales sobre tratamiento de intoxicaciones en animales.,es,88
General Treatment of Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,15,nepsoa merhvetmanua conispecia pet opes/paisoning/genea treatment af ploning,en,76
