source_file,paragraph_id,text,language,length
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,1,"arms, 03M ‘ng Meson toa Ca-Cat Owners - Merck Veterinary Manual",en,63
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,2,MANUAL DE Ww MERCK,pl,18
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Darle medicamentos a un gato,es,64
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,5,"Por Mick Roman, DVM, MPH, Clinica Fetal de College Station Revisado por el personal de Manuals",es,94
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,6,Revisado en ogosto de 2025,es,26
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,7,"Darle medicamentos a un gato puede ser complicada. A menudo no es tan sencillo como esconderlos en una golosina, y mezclarios con la comida podria provocar que los gatos eviten comer accidentalmente.",es,199
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,8,‘A continuacién te explicamos como darle una pastillaa un gato:,es,63
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,9,"1, Sostenga la cabeza de su gato con una mano de modo que su nariz apunte hacia arriba y mire hacia el techo,",es,109
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,10,2. Sostenga la pastilla con la otra mano. Use las yernas de los dedos de esa mano para abrirlela boca a su gato tirando suavemente de su mandibula inferior hacia abajo.,es,168
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,11,"3, Mientras mantiene Ia boca del gato abierta con suavidad, use las yemas de los dedos de la misma mano para colocar la pastlla en la parte posterior de la lengua. Como alternativa, un dispositive de agarre para mascotas (un dispositive portatl con punta de goma) puede ayudar a colocar la pastillaen la parte posterior de la lengua,",es,333
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,12,"ara medicamentos liquidos, siga estos pasos:",es,44
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,13,"Gato tomando pastillas,",es,23
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,14,1. Sostenga la cabeza de su gato de manera que quede ligeramente inclinada hacia arriba.,es,88
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,15,2. Inserte la punta dela jeringa en la boca cerca de los dientes posteriores de cada lado.,es,90
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,16,"3, Apriete suavemente la jeringa para liberar el liquido en la parte posterior de la boca del gato",es,98
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,17,‘napa. erctvetmanua con/etonnereringfratigingenedicinetowcat 12,it,63
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,18,"arms, 03M ‘ng Meson toa Cat-Cat Owners - Merck Veterinary Marval Los productos spot-on u otros medicamentos se administran directamente sobre el pelaje ola piel.",es,161
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,19,"Si necesita administrarle gotas oftalmicas 0 medicamentos para los ofdos a su gato, pidale a su veterinario que le haga una demostracién. Si tiene alguna dificultad, su veterinario también puede mostrarle otras técnicas y ofrecerle orientacién especiica,",es,254
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,20,© MERCK ozs WEE Wye Ton nec sen,en,31
Giving Medicine to a Cat - Cat Owners - Merck Veterinary Manual.pdf,21,‘nap ercivtmanue conve onnercringfrcatisingeedicinetowcat,en,57
