source_file,paragraph_id,text,language,length
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"as, 6120M Hives and Rashes (rte) nDogs-Dog Owners Merck Veterinary Manual",en,73
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE \AMeRcK,de,17
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,fh: VERSION PARA DUENOS DE MASCOTAS Urticaria en perros,es,55
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Stephen D. White , DVM, DACVD, Universidad de California, Davis Revisado en junio de 2018 | Modificado en septiembre de 2024",es,128
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,"La urticaria © erupciones cuténeas son manchas localizadas de piel roja,inflamada y sgeneralmente con picazén. Suelen aparecer y desaparecer repentinamente. La urticaria es relativamente poco comdn en perros. Las causas mas frecuentes son la picaduras de insectos, el uso de champis y medicamentos. Otras causas incluyen el contacto con plantas o productos {quimicos téxicos. La frcci6n, la luz solar, el calor, el ejerccio, el estrésy las anomalias genéticas pueden causaro intensificar la erupcién. La urticaria puede aparecer tras Inhalar 0 consumir alérgenos. La urticaria puede abservarse durante el celo o en cachorras con pardsitos Incestinales,",es,652
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"Las ronchas (erupciones) aparecen a los pocos minutos u horas de la exposicion al agente causal. En casos graves, las erupciones cuténeas se acompafian de flebre, falta de apetito 0 ‘apatia, Pueden aparecer en cualquier parte del cuerpo, pero se presentan principalmente en la espalda, los lancos, el cuello, los parpados y las plernas. En casos avanzados, pueden lencontrarse en las mucosas de la boca, la nari, el revestimiento de los ojo, el recto y la vagina",es,462
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"A menudo, la urticaria desaparece tan rapido como aparece, generalmente en pocas horas. Es posible que no requiera tratamiento. Sin embargo, puede reaparecer rapidamente sino se elimina la exposicion a la causa. Ademas, si su perro desarrolla urticaria después de recibir una vacuna 6 medicacién, contacte a su veterinario inmediatamente para ver si necesita tratamiento. El tratamiento puede incluircorticosteroides de accién rapida, Sila urticaria es cr6nica, se deben considerar los alérgenos ambientales o alimentarios como posibles causas. No es comin la muerte, a menos que se presente anafllaxia (un evento alérgico grave) 0 Inflamaclén de las vias respirators,",es,668
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,Ver también contenido profesional sobre urticaria,es,49
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,nepsowu merhvetmanua conidog oaner/in sr ders of dogshives andashes uricaveindogs 12,en,84
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,ams 612M Hives and Rashes (Utara) nDogs-Dog Owners Merck Veterinary Manual,en,74
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"& merck © 2026 Merck C, ne, Rahway. NJ EE. Uy Sus ilaes Teds ls derechos reservados.",en,84
Hives and Rashes (Urticaria) in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,‘nepsowa merhvetmanuaconidog oonerincsrder of dogshives ndash uricaveindogs,en,75
