source_file,paragraph_id,text,language,length
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,1,arms. 63m Heushold Hazards Seca PtToples- Merck Veterinary Manual,en,65
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Peligros domésticos,pt,55
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por Sharon M. Gwaltney-Brant, DVM, PhO, DABVT, DABT, Universidad de lino evsado en octubre de 2020 | Modfcado en septiembre de 2024",es,131
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,6,"Para obtener andlsis mas detallads, consute también Envenenamiento por cadenticidas, consult Envenenamiento por medicamentos de venta libre para humans, consuite Plantas venenosas nara los animales y consute Peligros alimentarios",es,229
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,7,"Las sustancias quimicas peligrosas , como los productos que contlenen alcohols, eas 0 corrosivos, que suelen encontrarse en el hogar pueden ser fuentes de intoxicaci6n en las rmascotas. Puede ser dificll determinar la sustancia quimica especiica consumida y la cantidad Ingerida, A menudo, el diagnéstico debe basarse en el hstorial de posible exposicién y la aparicién de sintomas especificos",es,393
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,8,Alcoholes,cs,9
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,9,"Todas las especies son susceptibles ala intoxicacién aleahdlica El etanol estd presente en diversas bebidas alcohdlicas, algunos alcoholes de frotacin, elixires medicinales y masa de pan fermentada ( véase Masa de pan ). EI metanol se encuentra con mayor frecuencia en lo liquidos limplaparabrisas. El isopropanol es dos veces mis toxico que el etanol y se encuentra en alcoholes de frotacién y aerosoles antipulgas a base de alcohol para mascotas. Rocar a las ‘mascotas en exceso con aerosoles antipulgas a base de alcohol suele causar toxicdad.",es,546
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,10,"Los alcoholes pueden absorberse através del tracto gastrointestinal o la pel. Alcanzan sus niveles ‘maximos en sangre entre 90 minutos y 2 horas después de la ingestin. Los sintomas .generaimente comienzan entre 30 y 60 minutos después dela ingestién e incluyen vémitos, diarrea, babeo, falta de coordinacién, depresién, temblores y dificltad para respirar. Los alcoholes son depresores muy potentes del sistema nervioso central. Los casos graves pueden progresar a coma, temperatura corporal peligrasamente baja, hipaglucemia, convulsiones, ritmo cardlaco lento y respiracién deprimida. La determinacién de la concentracién de alcohol en sangre puede ayudar a confirmar el diagnéstico de intoxicacién aleahélica,",es,713
Household Hazards - Special Pet Topics - Merck Veterinary Manual.pdf,11,"nepsu merhvetmanuaconispecia pet ope/paisoning/housholshatrdstCasonc Detergents 3235575, 16",en,91
