source_file,paragraph_id,text,language,length
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,1,"arms, room Ineeducton to Cats-Cat Owners Merck Veterinary Manual",en,64
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Introducci6n a los gatos,es,60
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,5,"Por Mick Roman, DVM, MPH, Clinica Fetal de College Station Revisado por Laurie Hess, DVM, DABVP, Manual Veterinario MSD",en,119
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,6,Revisado en mayo de 2025,es,24
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,7,Qué tipos de gatos existen?,es,27
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,8,"Hoy en dia se reconacen muchas razas diferentes de gatos. Adiferencia de los perros, que se crfan para tareas especiicas, los gatos se crian principalmente por sus caracteristcasfiscas, como la longitud y el color del pelaje",es,224
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,9,"Las diferentes razas de gatos pueden mostrar comportamientos tnicos. Por ejemplo, los abisinios son actives y enérgicos, mientras que los persas y los fold escoceses suelen ser més relajados. Los gatos siameses son conocidos por ser intligentes y expresivos,y suelen maullar con fuerza si se slenten ignorados,",es,310
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,10,"Los gatos mestizos suelen clasificarse segun lalongitud de su pelaje, como domésticos de pelo corto 0 domésticos de pelo largo. Los gatos con pelo més largo necesitan més culdados para ceitar enredos.Algunas razas, como el Devon Rex, tienen el pela rizado y mas corto debide a tuna mutacin genética, Otras, como el Sphynx, carecen de pela.",es,339
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,11,"Los gatos vienen en una variedad de colores, incluyendo gris (a menudo lamado azul), negro, ‘marrén, blanco y naranja. Su pelaje puede tener diferentes patrones, como liso, atigrado 0 tricolor (como et calié 0 el carey).",es,220
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,12,Laiferencia de peso entre as razas de gatos domésticos mas pequettas y més grandes es de solo entre Sy 10 ibras (23 y 4 kilogramos).,es,132
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,13,zCudnto tiempo vive un gato?,it,28
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,14,ptm merchvtmanus con/ct onersintraductont<atatraducon tat How Long Does Cat ve V1 096486,en,88
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,15,"arms, room Ineeducton to Cats-Cat Owners Merck Veterinary Manual Los gatos envejecen mucho més répido que las personas. El primer afio de vida de un gato equivale a unos 18 afios humanos. Después, cada ao feline equivale a entre 2y $afos, humanos.",es,247
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,16,Las razas de gatos pueden,es,25
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,17,"‘Amedida que los gatos envejecen, sus necesidades de cuidade cambian:",es,69
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,18,"‘+ Gatito (desde el nacimiento hasta el afio de edad): Los gatitos necesitan atencién veterinaria regular, que incluye vacunas, esterilzacion (castracién), microchip y desparasttacién.Alcanzan la -madurez sexual alrededor de los 6 meses. Los gatitos necesttan aprender formas apropiadas de jugar, as que dales juguetes Seguros (sin partes pequefias que puedan smorder) para jugar y enséfiales a no morderte evitando usar tus manos o pies para jugar con elles ‘También es importante mantener la seguridad de su hogar retiando objetos como ‘uerdas y pequefios objetos que puedan dafiara su gato si se los taga. También tenga culdado con los articulos domésticas venenasos, coma certas plantas y anticongelante.",es,708
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,19,"Los gatitos deben ser recompensados (por ejemplo, con pequefas golosinas) al conocer a personas y otras mascotas para que su interaccién sea posiiva. También deben acostumbrarse a las carcias y sentrse cémados dentro de su transportin durante el vig.",es,250
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,20,"‘+ Adulto joven (1 a6 afios): incluso si los gatos adultos jévenes parecen saludables, Jos controles veterinaros regulares son importantes para controlar su peso, salud dental y compertamiento,",es,193
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,21,"‘+ Adulto maduro (7-10 afios): Los gatos adultos maduros emplezan a ser menos ‘activos y pueden desarrollar problemas de salud crénices, El veterinario podria evisare la presién arterial a su gato y realizar andisis de sangre y orina con regularidad para detectar problemas a tiempo.",es,283
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,22,"+ Gatos mayores (10-14 afios) y geriétricos (14 afios 0 més): Los gatos mayores <deben visita al veterinario con més frecuencia, al menos cada 6 meses. Pueden desarrollar problemas como enfermedades dentales 0 hipertensién. Los gatos suelen ‘cultar sus problemas de salud, as que esté atento a sefales como pérdida de peso ‘cambios de comportamiento, Asegirese de que los articulos esenciales de su gato, como la caja de arena y la comida, estén faclmente accesibes,",es,466
Introduction to Cats - Cat Owners - Merck Veterinary Manual.pdf,23,ptm merchvtmanus con/ct onersintraductont<atatraducon tat How Long Does Cat ve V1 096486,en,88
