source_file,paragraph_id,text,language,length
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,1,"arms, 625m nvoucton to Emergencls Spel et Tops-Meck Veterinary Manual",en,69
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE Ww MERCK,pl,18
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Introduccion a las emergencias,es,66
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por Jamie Textor, DVM, PhD, DACVS, DACVSMR Revisado por el personal de Manuals",es,78
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,6,"Revisado en diciembre de 2025 Una emergencia es cualquier problema grave y repentino que requiere atenclén médica Inmediata. Algunos ejemplos incluyen lesiones graves por accldentes, quemaduras, Intoxicaciones, una enfermedad repentina o el rapido empeoramiento de una enfermedad crénica. Estas situaciones suelen requerir atencién veterinariainmediata. Llamar a su veterinario de inmediato puede ayudarle a determinar qué hacer a continuacién.",es,444
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,7,"También es itil hablar con el veterinarlo antes de que ocurra una emergencia para poder ‘actuar con rapide? si es necesario, Asegdrese de saber las respuestas a estas preguntas:",es,177
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,8,‘© Aue niimero debe lamar si mi mascota se enferma o se lesiona fuera del horario comercial habitual?,es,101
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,9,© Donde esti la clinica de urgencias 24 horas més cercana? (Consulta el sitio web de la clinica y traza la ruta),es,112
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,10,© cHay clases de primeros auxilios para mascotas disponibles cerca?,es,67
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,11,‘© Tengo un botiquin de primeros auxiios completo para mascotas y dénde lo guardo?,es,82
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,12,"Como debo sujetar a mi mascota de forma segura? ,Debo usar bozal silo",pt,69
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,13,‘© Como debo transportar a mi mascota si necesita ayuda?,it,56
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,14,Qué debo hacer si las vias respiratorias de mi mascota estén bloqueadas por un objeto extrano?,es,94
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,15,"Como cuidador, puede reducir el riesgo de muchas emergencias manteniendo a su mascota en ln entorna seguro y manteniendb los objetos peligrasos fuera de su aleance. Sin embargo, no",es,180
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,16,nepsonea merhvetmanuaconispecia pet opes/emergensesintoducion te-emergendes,es,75
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,17,"arms, 625mm nvocton to Emergencs Spel et Topcs-Meck Veterinary Manual puede garantizar que una emergencia nunca ocurra. Las emergencias son repentinas e Inesperadas, pero puede prepararse para responder con rapide.",es,214
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,18,"Comprender el comportamiento normal de su mascota le ayudard a detectar cuando algo ‘anda mal. Cambios repentinos en la apariencia, a forma de caminar, la actividad, la alimentacién, los habitos de bafio o el aseo pueden ser sefales de un problema médico. Reconocer una emergencia ripidamente y llevar a su mascota al veterinario es una de las ‘medidas mas importantes que puede tomar.",es,385
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,19,"‘Mantenga la informacién médica de su mascota y el nimero de teléfono de su veterinario a ‘mano, Conozea la ubicacién del hospital veterinarlo 24 horas mas cercano. Tenga a mano Un botiquin de primeras auxilios para emergencias menores.",es,236
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,20,"Las emergencias son dfilles porque los problemas que ponen en peligro la vida requieren un tratamiento répido, y algunas lesiones o enfermedades podrian no manifestarse completamente hasta dentro de 24 a 48 horas. Muchos factores influyen en el resultado: la gravedad de la afeccién, la cantidad de sangre o iquido perdido, la edad del animal, sus problemas de salud previos y e tiempo que se demora el tratamiento,",es,415
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,21,© MERCK ozs WEE Wye Ton nec sen,en,31
Introduction to Emergencies - Special Pet Topics - Merck Veterinary Manual.pdf,22,nepsowea merhvetmanua conispecia pe opes/emergensesintoducion to-energendes,es,75
