source_file,paragraph_id,text,language,length
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,1,"21726, 626°m Introduction to soning Spec Pet Topcs- Merck Veterinary Manual",en,75
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE ae Ww MERCK So,en,24
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Introduccion al envenenamiento,es,66
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por Steve M. Ensley, DVM, PhD, Departamento de Anatomia y Fisiologia Facultad de Medicina Veterinaria, Universidad Estatal de Kansas",es,132
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,6,Revisado en octubre de 2020 | Modlficado en septiembre de 2024,es,62
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,7,"El envenenamiento ocurre cuando una sustancia t6xica se ingiere,inhala 0 absorbe tras el contacto con la pel, los ojos o las mucosas. E! envenenamiento también se denomina toxicosis co intoxicacién. Dado que las mascotas no pueden distinguir si una sustancia es vertenosa 0 no, ‘a menudo se envenenan al ingerir algo t6xico, como anticongelante o una planta venenosa. Las mascotas también pueden envenenarse por la picadura o mordedura de un insecto serpiente venenosa, 0 incluso por un duefio bienintencionado que les da medicamentos a hhumanos que son venenosos para los animales.",es,582
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,8,"Un animal puede envenenarse tras una sola exposicion (con efectos mas pronunciados durante las primeras 24 horas) 0 tras una exposicin repetida 0 prolongada a un veneno. Todos los efectos téxicos dependen de la dosis(lacantidad de veneno presente) y de la especie. Una dosis pequera puede ser indetectable y no tener efectos nocivos, mientras que tuna dosis alta puede ser mortal",es,379
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,9,Para mas informacion,es,20
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,10,© Linga directa de envenenamienta de mascotas ‘© Control de Envenenamiento Animal de la ASPCA,es,93
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,11,‘Ver también contenidos profesionales sobre intoxicaciones en animales,es,70
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,12,nepsuen merhvetmanualconispecipettopis/pisoninglinecucionto poisoning,it,69
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,13,"arms, 626m Introduction to soning Spec Pet Topcs- Merck eternary Manual",en,71
Introduction to Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,14,nepsunwen merhvetmanualconispeipettops/pisoninglinacucionto poisoning,it,69
