source_file,paragraph_id,text,language,length
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,1,"arms, 03M Xeon Care Cat Onmers- Meck Veterinary Manual",en,54
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,4,fey VERSION PARA DUENOS DE MASCOTAS,en,35
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,5,Cuidado de gatitos,pt,18
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,6,"Por Mick Roman, DVM, MPH, Clinica Fetal de College Station Revisado por el personal de Manuals Revisado en agosto de 2025",es,121
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,7,"Por lo general, los gatitos pueden separarse de su madre y de sus hermanos de camada una vez destetads (dejan de maman) a partir de as 6 07 semanas de edad. Al igual que los bebés, los gatitos requieren mucha atencién, que incluye atencién veterinara, alimentacién y socializacén.",es,280
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,8,zMi gatito necesitaré ver a un veterinario?,it,43
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,9,"Los gatltos necesitan visita al veterinario cada 3 0 4 semanas hasta que tienen aproximadamente 6 meses para recibir vacunas y tratamiento antiparasitario,",es,155
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,10,"Aligual que os cachorros y los bebés humanos, los gatitos reciben cierto grado de inmunidad (conocida como inmunidad materna) que se transmite de sus madres al nacer al torrente sanguineo en forma de proteinas lamadas anticuerpos, y también posterlormente a través de la lactancia, Las vacunas no pueden estimular eficazmente el sistema inmunitaro de un gatito hasta que esta inmunidad materna desaparece.",es,405
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,11,"ado que lainmunidad materna disminuye lentamente con el tiempo, los gatitos deben vacunarse segin un calendario regular, comenzando a los 20 3 meses de edad, Esto ayuda a garantizar que el gatito reciba una dos eficaz de la vacuna poco después de que desaparezca la proteccién materna. Es importante mantener alos gatites alejados de gatos no vacunados hasta que hayan recibido la pauta completa de vacunas para protegerlos de enfermedades.",es,440
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,12,"Los pardsits intestinales son muy comunes en los gatos. Las larvas que nacen de los huevos de pardsitos pueden transmitirse a través de la placenta ola leche materna. Los gusanos pardsitos son tan comunes en los gatos que muchos veterinarios los tratan rutinariamente con ‘medicamentos antiparasitaros para eliminar y prevenir una amplia gama de pardsites. Las heces del gaito suelen reexaminarse y ses necesario, se administran tratamientos antiparasitarios",es,458
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,13,‘nepsuwen merhvetmanua conve onnerscting fr ctsiten care Ay Kitten Newt t-See- oY v10282911 2,en,93
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,14,"arms, 03M Xeon Care- Cat Onmers- Meck Veterinary Manval Aadicionales. Los parasites externas (como pulgas y garrapatas) que se encuentren en la plely el pelaje del gatito también deben tratarse, pero solo con productos aprobados para su uso en eatitos,",es,252
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,15,Qué le doy de comer a mi gatito?,fr,32
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,16,"Una nutrieién adecuada es importante durante toda la vida de un gato, especialmente durante su etapa de gatito, Los gatitos en crecimiento necesitan calorias, grasas, proteinas, vitaminas y ‘minerales adicionales para un crecimiento y desarrollo rapids, Necesitan varlas tomas diarlas de alimenta especialmente formulado para satisfacer sus necesidades. El nlimero de tomas dlarias puede reducirse gradualmente a medida que el gatito crece, pero la alimentacién con una dieta rutrcionalmente equilibrada y de marca reconocida debe continuar hasta la edad adulta (aproximadamente entre los 9y os 12 meses de edad),",es,613
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,17,éMi gatito necesita juguetes o personas con quienes jugar?,es,58
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,18,"Los gatos aprenden a sociaizar con otros gatos gracias a su madre y a sus hermanos de camada, Para convertirse en buenas mascotas acostumbradas a estar con personas, los gatitos suelen necesitar contacto humano antes de las 10 a 12 semanas de edad. jugar con tu gato y ofrecerle Juguetes interactivos puede ayudarle a desarrollar un vinculo estrecho, ademas de reducir los comportamientos destructivos",es,401
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,19,"© merc © 2025 Merck & Co. Inc, Rahway, NJ, EE. U.y sus flales. Todos las derechos reservados.",es,93
Kitten Care - Cat Owners - Merck Veterinary Manual.pdf,20,‘nepsen merhvetmanua conieat onnerscting fr cater care Ay Kitten News t-See- eV v102082911,en,90
