source_file,paragraph_id,text,language,length
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,1,ANATOMIA CLINICA,hu,16
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,2,_ PERRO << el : ‘ GATO,ca,22
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,3,«,unknown,1
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,4,_ oF |,da,6
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,5,"Prof, José Luis Morales Lépez",fr,29
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,6,ANATOMIA CLINICA,hu,16
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,7,PERRO Y GATO,cy,12
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,8,"ANATOMIA CLINICADEL PERRO Y GATO. TERCERAEDICION,",cy,49
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,9,(© 2009 Llosé Luis Morales Lopez.,fr,33
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,10,LS.B.N: 84-609-1890.4,vi,21
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,11,IMPRESO EN ESPANA PRINTED IN SPAIN,pt,34
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,12,"Reservades todos los derechos. El contenido de este libro, tanto fotografico como te. ‘wal, no puede ser reproducido, ni parcial ni totalmente, de forma mecénica, informatica, ‘electronica 0 de cualquier otra forma sin permiso del autor.",es,237
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,13,Depésito Legal: CO5272002 Editor: José L. Morales Lopez,pt,55
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,14,"Imprime: COSPISTERIAS DON FOLIO, SL. CORDOBA",ro,44
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,15,"Prof, José Luis Morales Lépez",fr,29
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,16,Prefacio,es,8
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,17,"En os uitimos alos fa demanda social ha provocado una aceleracién de la especializacién de la ‘profesién veterinaria -en su vertinte clinica- hacia cada una do las especies domésticas. En ol caso de las pequefias especies, sobre todo en el perro, este proceso ha sido vertiginoso, de tal Forma que han pasado de ser especies de tercer orden (después de los équides y bovidos) en cuanto a su importancia social, econémica y profesional, a especies de primer orden, sobre las que ‘se aplican las mas complajas y avanzadas técnicas dlagndsticas y terapéuticas. El gato, especie fescasamente considerada, so perfla como el animal de compafia de! futuro.",es,649
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,18,"Esta realidad profesional ha exigido adecuar los textos clinicos, considerando independionte- ‘mente los grupos de especies que demandan la atencién del veterinario especialista an ellos, y rlegando, por consiguiente, ol punto de vista-u organizacién comparativa del contenido, valido ‘para un conocimiento general y basico.",es,324
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,19,"Con esta finalidad ha sido concebida 'a presente obra. No cabe duda que e! conocimiento ‘anatémico es imprescindible para el cliico; sin embargo, este conocimianto no debe ser slo el ‘general 0 basico, sino que debe estar orientado hacia las actuaciones concretas que realice sobre €@l animal enfermo; precisamente, en este objetivo de proporcionar los datos anatémicos utiltarios ‘se fundamenta e! cuerpo doctrinal de la Anatomia Clinica. Esta no parte de fa anatomla, sino de la patologia especifca, offeciendo los datos concretos (anatomoclinicos) para su comprensién (patogenia, sintomatotogia), dlagndstico y tratamiento,",es,626
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,20,"Esta obra responde en realidad a una exigencia de los alumnos de veterinaria y de los profesio- rales cinicos especialistas en pequetios animales, deseosos de poseer libros que sean realmente prdctices y utiles para su procedr profesional. Desde que publiqué en 1998 e] manual ‘Anatomia dlinica do los pequefios animales’, me han indicado reiteradamente la idoneidad de generar ima- genes que mostraran los conocimientos que desarrola ese texto. Una vez superadas las dficulta- dos que este proyecto entraniaba me decid! por la publicacién de la presente obra, que espero cumpla con los objetivos pretendidos y satisfaga las espectativas mencionadas.",es,650
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,21,"Por lo tanto, esta obra aspira a que pueda sarvir no sélo de base para los alumnos que cursen las asignaturas de Anatomia Veterinaria (Sistematica, Topogrsfica, Aplicada) 0 propiamente clin- cas (Medicina Intema, Patologia Quirirgica, Reproduccién) sino también como referencia de con- sulta del profesional en los aspectos concretos de su proceder clinico. Por ello, en la recogida de datos he empleade tanto tratados anatémicos especificos como miitiples textos ainicas en los que do una forma introductoria o dispersa aparecen las consideraciones anatémicas de interés. La ‘propia experiencia clinica ha modulado y tamizado todos estos datos, procurando ofrecerios en su dimensin real",es,687
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,22,"En la mayor parte do los casos he estructurado el contenido en relacién con las partes y rogio- ‘nes corporales, agrupdndolas en 16 capitulos. Cada uno de ellos se inicia ~como dato preliminar",es,192
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,23,"Prof, José Luis Morales Lépez I",fr,31
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,24,"Prof, José Luis Morales Lépez",fr,29
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,25,"con la descripciin de las regiones naturales y de las referencias que proporciona la superficie del ‘animal; a continuacién nos adentramos de leno en los fundamentos que presiden la exploracion clinica, 1as punciones aly las intervenciones quirirgicas. Mi experiencia docente ha determinado que o! criterio topogréfico en la organizacién del contenido de este Atlas-Texto no fuera riguroso, de forma que cuando el acto clinco lo requeria he empleado eriteros sistematicas 0 considerado regiones topogrificas enclavadas en otras partes corporales.",es,546
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,26,"‘Como discipina clinica, en la que principalmente se exponen razonamientos y procedimientos ‘médicos © quirirgicos, no se puede concebir una obra de Anatomia Clinica sin un texto que acom- pafte a las figuras. y en el que se remarque o indique secuencialmente los aspectos anatémicos ‘que deben ser destacadas en las mismas. En todo momento he pretendido utilzar un lenguaje directo y esquematizado, con las minimas concesiones a la literatura w omamentos que pudloran ‘menoscabar ia agilidad perseguida",es,503
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,27,"Un total de 237 figuras —la mayoria de ellas compuestas— ilustran y ofrecen la imprescindible visualizacion de los datos que aporta el texto. En su obtencién y elaboracién he procurado que los procedimientos clinicos que simulan se asemejen lo maximo a la realidad de una intervencién ‘conereta, por lo que las disecciones se han realizado en cadaveres frescos, enfocando al campo de actuacién, plasmando los diversos planos 0 fases de que consta y resaltando las estructuras anatémicas que deben ser reconocidas para realizar el acto clnico con solvencia. Dada las dficu- tades de comprensién que este enfoque tan circunscrite~ pudiera product, en algunos casos he creido conveniente que estén precedidas de esquemas -dibujos o imagenes estéticas de disecciones- que ofrezcan una vision mas general de las estructuras anatémicas o de la regién en ‘uestién. Finalmente, y dado que la radiografia y ecografia han terminado por ser métodos de diagnéstico rutinaros en la clinica del perro y gato, en los capitulos pertinentes se han incorporado |magenes generadas por estos medios procedentes de animales sanos en las que se indican los aspoctos anatémicos que permiten interpretaris.",es,1182
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,28,"Cérdoba, Marzo 2002",es,19
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,29,PROLOGOALATERCERAEDICION,tl,24
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,30,"Desde que se publicé la primera edicion, este libro ha sido sometido a la consideracién critica de los profesionales clinicos veterinarios, y sobre todo ala inevitable revision exhaustiva ejercida por los ‘estudiantes de veterinaria, que han acogido con satisfaccién este libro como manual de referencia Fruto de las recomendaciones reaizadas he procedido a revisa la obra, aunque he manteniendo su cestructuracion y contenido basico.",es,434
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,31,"Para esta edicién se han incorporado nuevas imagenes que explicitaran y a la vez que ‘esquematizaran los procedimientos clinicos que muestran. Asimismo, se ha retocado el texto de practicamente todos los capitulos, ya sea para ahadir nueva informacion o para profundizar oacarar lo contenido en ediciones anteriores,",es,316
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,32,‘Septiembre 2004,es,16
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,33,"itt Prof, José Luis Morales Lépez",fr,33
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,34,"Prof, José Luis Morales Lépez",fr,29
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,35,"Ami mujer, Isabel, por su amor, apoyo y comprensién. A mis hijos, Ariadna, José Daniel y German, por el tiempo cedido.",es,118
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,36,"Prof, José Luis Morales Lépez TI",fr,32
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,37,"Prof, José Luis Morales Lépez",fr,29
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,38,Inrropuccion. Pret 1 iwrmoouccion. Piet. 3,fr,42
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,39,CaBeza,sw,6
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,40,2 Reciones Navura.es v REFERENCIAS OF ‘SUPERRICIE DE LA CABEZA. 11 Regiones Naturales 11,es,88
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,41,Referencias de Superficie 15,es,28
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,42,"3 Bases Ansroncas 0€ LA ExeLORACION [NeuRa.ocica vD€ Los BLoaueas Auesresicos 1 Los NeRvios o€ ta Caseza 17 Nervios Olfatorios 18, Nervio Trigémino 19 Nervio Facial 23 Nervios Glosofaringeo, Vago, Accesorio ‘@ Hipogloso 24 Nervios Cervicales 24",es,244
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,43,"4 Surenncie Facim, 25 Regién de la Articulacion Temporomandibular 25 Regién Cigomética 27 Regiones Masetérica y Bucal 28 Regiones Mandibular e Intermandibular 29",es,161
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,44,5 Naz. Cavonn Nast. Senos Ponanwcaics 31 Nariz 31 Vestibulo Nasal 31 Cavidad Nasal 32,es,85
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,45,Contenido,es,9
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,46,Senos Paranasales 34 6 Compan Buca. 37 \Vestibulo Bucal y Recesos Sublinguales 37 Lengua 38 Faladar Duro 39 Dientes y denticién 39,es,130
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,47,7 Growo Ocinan v Oneavios Accesonios vet O10 45,en,47
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,48,Parpados 45,pt,11
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,49,Conjuntiva 46,ca,13
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,50,TTercer Parpado 47,pt,18
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,51,Aparato Lacrimal 48,it,19
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,52,Formaciones Retrobulbares 49,es,28
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,53,Globo Ocular 50,ro,15
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,54,Bases Anatémicas de la Exploracién @ Interpretacion de los Reflejos oculares 53,es,79
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,55,"8 Obo Exrenno, McD InreRno, SistEMA Vesnauar 59 Oreja 59 Meato Acistco Extemo 60 Membrana Timpanica 62 Oido Medio 62 ido Intomo, Sistema Vestibular 64",pt,150
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,56,‘TransrTo CeRvicocerALico. CUELLO 9 Transeo CenvcocerAuice. Cuno 69 ‘Transito Cervicocefalico 71 Cuello propiamente dicho 81,it,124
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,57,"Prof, José Luis Morales Lépez WV",fr,32
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,58,‘Sistewa Nervioso 10 Arsromia Cuhica 08 SistEMA Nenvoso 87 ‘Anatomia Funcional del Sistema,it,90
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,59,"Nervioso 87 Bases Anatémicas de la Exploracion Neurolégica 89 Localizacién de las Lesiones en e! ‘Sistema Nervioso 97 Monoparesia 100 Paraparesia 101 Tevraparesia, Hemiparesia 105 ‘Ataxia de la Cabeza y Miembros 106 Desérdenes Mulifocales 107 Desérdenes de la Miccion 108",es,271
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,60,Tronco,es,6
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,61,11 Dorso. Coun 113 Musculos del Dorso 114 Punciones Intrarraquideas 114 Sinfisis Intervertebral 117 Cola 118,es,108
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,62,"12 Tome 121 Paredes del Torax 122 Pleura y Cavidad Pleural 124 Pulmones 125 Corazén y Pericardio 128, Mediastino y Organos",es,122
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,63,Mediastinicos 132 Diafragma 136,pt,31
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,64,"13 Awoonen 137 Paredes del Abdomen 138, Estomago 143 Intestinos 148,",es,68
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,65,Pancreas 150,en,12
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,66,Bazo 152,sw,8
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,67,Higado 152 Rinones y Uréteres. 154 ‘Adrenales 158,es,49
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,68,VI,de,2
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,69,"Prof, José Luis Morales Lépez",fr,29
LIBRO_ANATOMIA_CLINICA_DEL_PERRO_GATO.pdf,70,"14 Pewws. Oraanos Gewrates. Minas 157 Paredes de la Pelvis y Cavidad Pelviana 158 Recto 160 Canal Anal 161 Veliga y Uretra 161 Organos Genitales Masculinos 162 Envoltura Testicular y del Cordon Espermatico 162 Testiculo, Epididimo y Cordén Espermatico 164 Canal Inguinal 168 Glandulas Genitales Accesorias 167 Prepucio y Pene 168 Organos Genitales Femeninos 172 Genitales Externos, Vestibulo Vaginal, Vagina y Cuello Uterino’ 172 Ovarios y Utero 175 Mamas 177",es,459
