source_file,paragraph_id,text,language,length
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,arms. 615em Lee ofBogs- O09 Owners- Merk Veterinary Manual,en,58
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE Ww MERCK,pl,18
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Piojos de los perros,es,56
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Jennifer £. Thomas, DVM , Universidad Estatal de Oklahoma Revisado en junio de 2018 | Modificado en septiembre de 2024",es,122
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,"Los piojos son pequerias insectos no voladores que viven en el pelo o las plumas de animales y personas. Exsten dos tipas basicos de piojas. Los plojos mordedores (orden Mallophaga) Infestan tanto a aves como a mamiferas. Se alimentan principalmente de restos de piel y secreciones de sus huéspedes. Los piojos hematéfagos (orden Anoplura) son pardsitos cuténeos exclusivos de mamiferos. Normalmente, los piojos son especificos de cada especie; es decir, no se transmiten facilmente de una especie animal a otra",es,511
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"Los piojos hembra pegan sus huevos, lamados liendres, a los pelos del huésped cerca de lapel. El lavado y e! lavado habituales no desalojan las liendres. Las llendres son palidas, translucidas y de forma casi ovalada. Una vee que las liendres eclosionan, les piojos pasan por etapas ninfales antes de alcanzar la edad adulta, Las ninfas, Inmaduras se parecen mucho a los piojos. adultos, solo que mas pequefas. La mayoria de las plojos tardan entre 3y 4 semanas en pasar de liendre a adulto con capacidad reproductiva, ‘aunque este periodo varia segin la especie.",es,563
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Los perros pueden infestarse con tres especies de piojos: Linognathus setosus (piojo hemnat6fago), Trichodectes canis (piojo mordedor) y Heterodoxus “piniger(piojo que se alimenta de sangre). Los pperros con mala salud pueden infestarse gravemente. Heterodoxus spinger es poco comin",es,282
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,nepsuoea merhvetmanuaconidog oonerisindsrders fogs dogs,da,55
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,arms. 615em Lee ofBogs- O09 Owners- Merk Veterinary Manual len Norteamérica. Trichodectes canis puede servir como hospedador intermediario para las tenias Incestinales,en,167
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,Piojo mordedor o masticador (orden Mallophaga) y piojo chupador de sangre (orden Las primeras sefiales de que su perro puede Anoplura),es,134
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"tener piojosincluyen rascarse, morderse y frotarse las zonas infestadas. Un perro con piojos suele tener un pelaedspero y seco. Sihay ‘muchos piojos, el pelo también puede estar lenmarafiado. Los piojos chupadores causan pequefias heridas que pueden infectarse, GGeneralmente, el diagndstico se realiza al jobservar piojoso liendres en la mascota Infestada, La separacién del pelo suele revelar los piojos. Los piojos masticadores son activos y se pueden ver moviéndose por el pel. Los piojos chupadores suelen moverse mas lentamente. A ‘menudo se encuentran con sus piezas bucales Incrustadas en la piel",es,604
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"Usar un peine de dientes finos para desalojar las. liendres es un proceso tedioso que no mata los plojos que han eclosionado. Los perros, gatos y otras mascotas suelen tratarse con productos de aplicacién t6pica, champs, colares, aerosoles 0 ppolvas que matan los piojos, Su veterinarlo puede recomendar un producto de control adecuado para su mascota e indicarle como usarlo,",es,376
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,"Los piojos que se desprenden o se desprenden del huésped mueren en pocos dias, pero los hhuevos pueden continuar eclosionando durante 2 ‘23 semanas. Por lo tanto, os tratamientos para elcontrol de piojas deben repetirse de 7 a 10 dias ‘después del primer tratamiento, La inspecclén ‘minuciosa del pelaje de su mascota debe continuar diariamente durante al menos 2 ‘semanas después de ver el ultimo piojo. ‘Asegirese de recoger con cuidado cualquier piojo (vivo © muerto) que se le haya retirado a su mascotay deséchelo rapidamente en un",es,536
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,nepsuoaea merhvetmanuaconidog onnerisinsrders of degli dogs,it,59
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,"26,6150 Ue of Dags- O09 Owners - Merck ternary Manual",en,53
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,17,recipiente hermético (como una bolsa de plastico con cierre hermético). Los demas perros que hayan estado en contacto con un perro infestado ddeben recibir tratamiento para prevenir la propagacién de los plojos.,es,211
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,18,"En infestaciones graves de piojos el perro puede ddafarse la piel al rascarse. Las infecciones bacterianas y las heridas por rascado son comunes. Sise presentan estas afecciones, su veterinario podria recetarle un antibistico u otro ‘medicamento, Su veterinario también tratard cualquier otro problema nutricional ode salus,",es,324
Lice of Dogs - Dog Owners - Merck Veterinary Manual.pdf,19,"‘Ademds de eliminar los plojos de su mascot asegurese de que no infesten la ropa de cama, el collar, los utensilios de aseo (incluidos cepillos 0 peines) ni otros objetos similares en su entorno, Lave la ropa de cama con frecuencia con agua caliente yjabén 0 tratela con un espray adecuado hasta que la infestacion esté controlada, Limpiar e inspeccionar culdadosamente estos objetos puede ayudar a que su mascota siga sintiendo la lretacién causada por los plojos.",es,465
