source_file,paragraph_id,text,language,length
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"arms, ser Management of Reproduction inD09s-Dop Owners Merck Veterinary Manual",en,78
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Manejo de la reproducci6n en perros,es,71
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por DVM, MS, DACVIM, Departamenta de Medicina y Epidemiologia, Facultad de Medicina Veterinaria, Universidad de California, Davis",es,129
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en junio de 2018 | Modificado en septiembre de 2024,es,60
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"Los perros pueden reproducirse de forma natural o artificial Las téenicas de reproduceién artificial incluyen la inseminacién con semen fresco, refigerado o congelado-descongelado. Dado ue los machos tlenen més probablidades de reproducirse con éxito en su entorno doméstico, las hembras suelen ser llevadas al macho en lugar de ala inversa,",es,341
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Las perras suelen tener ciclos estrales dos veces al afi, pero el intervalo entre cclos puede variar de 4.a 13 meses. Elintervalo promedio entre ciclos es de 7 meses, pero algunas razas grandes (por ejemplo, el gran danés) pueden tener ciles normales cada 9 a 12 meses. La fase de anestro la parte no reproductiva del ciclo se caracteriza por ovarios inactivos y un utero pequetio. Una perra en esta fase no resulta atractiva para los machos yno les permitiré montarla. El final del anestro se caracteriza por un aumento de la hormona lutelnizante y la hormona foculo estimulante. El anestro suele durar de 1 a 6 meses.",es,619
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,"Durante el proestro, las perras se vuelven atractivas para los machos, pero atin asino les permiten aparearse. Se observa una secrecién sanguinolenta vaginal yla vulva comienza a agrandarse ya endurecerse, Los nveles sanguineos de estrégeno aumentan durante el proestro, En la mayoria de las perras, el proestro dura aproximadamente 9 dias (con un rango de 2 dias a 3 semanas).",es,377
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"Durante el celo, las perras son receptivas a la repraduccién con machos. En este punto, los riveles de estrégeno disminuyen y los de progesterona aumentan. La cantidad y la consistencla del flyjo vaginal varian entre perras, pero puede disminuir yadquirr un color pajizo durante el celo, La vulva se vuelve blanda y arrugada a medida que la perra se acerca al clo. El celo puede durar desde 3 dias hasta 3 semanas, pero su duracién media es de unos 9 dias. La ovulacién ‘ocurte durante el cele, aproximadamente de 2 a3 dias después de pico de la hormona",es,553
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,nap mercivtmanus oni dog-onnerseprducive torr dogtmanagement reproduction dogsPrebemeAttocte:,nl,93
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"arms, ser Management of Reproduction Dogs -Dop Owners - Merck Veterary Manual luteinizante. Las perras ovulan incluso sine se reproducen (un proceso denominado ovulacién espontinea).",es,182
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"Durante la ultima fase, el diestro, las perras se vuelven resistentes a la reproduccién con. ‘machos. El flujo vaginal disminuye y la vulva comienza a reducirse lentamente. El itera se ‘agranda debido a la estimulacién con progesterona, Los niveles de progesterona aumentan durante la primera mitad del diestro y luego disminuyen lertamente. En las perras que no estan prefiadas, el diesto suele durar unos dos meses. ila perra queda prefiada, los niveles de pprogesterona se mantienen altos la gestaclén dura entre 62 64 dias.",es,527
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,"Calcular el tiempo de ovulacién puede ayudar a determinar con precision la duracion del lembarazo y la fecha probable de parto, evaluar la infertilidad, optimizar el tamafio dela camada y planificar la repraduccién. Los veterinarios pueden ayudar a calcul el tiempo de ovulaclén ‘mediante exdmenes fisicos, andlisis hormonalesy la evaluacién de células vaginales (cologla vaginal), Consulte con su veterinario sobre la reproduccién antes de que su perra entre en celo. Luego, notiffquele en cuanto note signos de celo, como fujo vaginal, inflamacién dela vulva 0 atraceién por os machos. Su veterinario examinard a su perra y tomaré muestras de sangre @ vaginales, generalmente cada dos dias. Con base en estos resultados, su veterinario le recomendaré los dias apropiados para la reproduccién,",es,794
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,La inseminacién artificial es cada vez mas comin en perros. Los veterinarios pueden recolectar ‘semen de machos y depesitarlo en una hembra durante el periodo menstrual. El semen puede tratarse para su envi y uso en un lugar distante o posterior. También puede congelarse para su almacenamiento a largo plazo.,es,309
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,"[A diferencia de otras especies demésticas, la manipulacién del ciclo estral no es facil en las perras. La prevencién del esto suele lograrse mediante la esteriizacién, aunque también se puede lograr luna supresién a corto plazo del estro con medicamentos. Los efectos secundarias de a supresion ‘médica pueden incluir inlamacién vaginal, cambios en la piely el higado, y defectos de nnacimiento en las cachorras. También es posible usar medicamentos para acelerar la aparicién del estro en perras que se encuentran en la fase final del anestro,",es,545
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,17,"El apareamiento no planificado e indeseado de perros es una preacupacién comin. La gestaclén se puede prevenir por completo mediante la esterlizacion 0 castracién. También se puede Interrumpir mediante la administracion de prostaglandina sintética 0 el corticosteroide dexametasona por parte del veterinario. La gestacién debe confirmarse antes del tratamiento, ya que el 60 % de las perras con cruces no se gestan",es,414
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,18,Embarazo y parto,es,16
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,19,La gestacién en perras se puede detectar mediante una exploracinfisica(palpacion del tera) aproximadamente al dia 21 de gestacién. También existe un andliss de sangre que mide la hormona relaxina y permite detectar la gestacién entre el dia 30y 35 de gestaclén. Los fetos en,es,274
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,20,napa mercivtmanis con/dog-onnerseprductive toner dogemanagement reproduction dogs robe Atocte:,en,94
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,21,"arms, ser Management of Reproduction Dogs -Dop Owners - Merck Veterary Manual desarrollo se pueden observar mediante radiografias después del dia 45 aproximadamente. Las radiografias tomadas después de los 55 dias de gestacién son la mejor manera de determinar el tamafo de la camada, La ecografla puede detectar la gestacién con fabilidad entre los dias 25 y 38 también permite al veterinario confirmar que los fetos estan vives.",es,430
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,22,"La gestacién en las perras dura aproximadamente de 62 a 64 dias, pero predecir el momento del arto puede ser diffe ya que la fecha de apareamiento no siempre coincide con la de concepelén. La duracién de la gestacién también puede variar segtn la raza el tamavio de la ‘camada, Una bajada de la temperatura rectal suele preceder al parto entre 8 y 24 horas.",es,357
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,23,"El trabajo de parte y el nacimlenta en las perras se dividen en 3 etapas. La etapa | dura de 12a 24 hhoras. Durante esta etapa comienzan las contracclones uterinas, pero no son vsibies lexternamente. El cuello uterine también comienza a dilatarse, Las perras pueden mostrar cambios de comportamiento (como inquietarse, anidar, esconderse), negarse a comer, vorntar, Jadear o temblar durante la etapa |, También pueden tener flujo vaginal clara y acuoso. Durante la etapa I se pueden ver contracciones abdominales y nacen los cachorros. Los cachorros suelen hacer en intervalos inferlores a 1 02 horas, pero eso puede variar considerablemente. La etapa puede durar hasta 24 horas, pero un parto normal suele ser mas corto. La etapa Il se define como la expulsién de la placenta. Las perras suelen alternar entre las etapas ily I hasta que se completa el parto. Se debe expulsar una placenta por cada cachorro, pero no siempre se expulsan juntes.",es,944
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,24,"1 parto anormal (distocia) se puede diagnosticar si las contracciones uterinas son demasiado Infrecuentes o débiles para expulsar los fetos. Esto puede provocar un parto prolongade (més de 24 horas para la etapa |, mds de 12 a 24 horas para la etapa o més de 1 a4 horas entre partos durante la etapa), Otros signos de parto difellincluyen cachorros que nacen muertos 0 casi ‘muertos o suftimlenta materno excesivo. Se pueden utlizar monitores uterinos y fetal para evalua el estado del itero y ls fetos. La distocia se puede tratar con medicamentos 0 cirugia. tratamiento médico incluye inyecciones de calclo o la hormona oxtocina para aumentar la fuerza yla frecuencia de las contracciones uterinas. Ninguno de estos tratamientos debe administrarse sin el consejo especiico de un veterinario. Si estas medidas no son eficaces, se realza una cesirea para extrpar los fetos.",es,873
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,25,"El examen fsico, yen algunos casos las radiografias, se utlizan para asegurar que todos los. cachorros hayan nacido, Las inyecciones de oxitocina después del parto no se administran rutinarlamente a menos que la perra na haya expulsado todas las placentas. La temperatura corporal de a madre, el flujo vaginal loquios) y la leche deben controlarse. Normalmente los lequies son de color rojo oscuro a negro y son pesados durante los primeras dias después del arto. No es necesario que la madre se coma las placentas. La desinfeccién del ombliga (ombligo) con tintura de yede ayuda a prevenir la infeccién bacteriana en las cachorros reclén nacides. Los cachorros deben pesarse tan pronto coma estén secos y luego dos veces al dia durante la primera semana, Cualquler pérdida de peso después de las primeras 24 horas indica un problema potencial y se le debe dar atencién inmediata, como alimentacién adicional, lactancla",es,919
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,26,nap erctvtmanus com/dog-onnerseprducive toner of dogtmanagemento production in dogs PrebemeAttocete,en,99
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,27,"arms, ser Management of Reproduction Dogs -Dop Owners - Merck Veterary Manual asistida 0 examen por un veterinari (ver Cuidado del cachorra ) Los cachorros recién nacidos ddeben ganar el 10% de su peso corporal cada dia",es,219
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,28,Problemas asociados con la entrega,es,34
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,29,"Se debe permitie que las perras den a luza sus cachorros en un lugar familar donde no sean ‘molestadas. Un entorno desconacido o la presencia de desconocidos puede dificulta el part, Interferircon a bajada de a leche o afectar negativamente el instinto maternal, haciendo que la perra descuide a sus eachorros recién nacidos. Esto es especialmente cierto en el caso de una pperra que da a luz a su primera camada. Una perra nerviosa puede ignorar alos cachorros recién nacidos o prestarles demasiada atencién. Esto puede provocar que lama y muerda el cordén umbilical casi constantemente, lo que puede causarle lesiones graves. Sil instinto maternal de la perra flla, puede acostarse en una posicin erguida que impide que los cachorros se allmenten, ‘o puede dejarios sin supervisién,",es,784
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,30,"Tras el parto y debido a las exigencias dela lactancia, os niveles de calcio en a sangre de la perra pueden descender a niveles anormalmente bajos. Este problema es mas comiin en perras que pesan menos de 20 kilogramos (4 libras) y puede agravarse por una dieta inadecuada © una camada muy numerosa.",es,299
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,31,"Las enfermedades inflamatorias comunes en el periodo posterior al partoincluyen la inflamacién del dtero (metritis) y las mamas (mastitis). La retencién de la placenta generalmente conduce ala _matttis Los signos incluyen esfuerzo continuo como si estuviera de parto flujo vaginal, Nebre y depresién. Los medicamentos que ayudan a estimular las contracciones uterinas, como la oxitocina ola prostaglandina F aja, pueden ayudar a expulsar la placenta. La masitis {generalmente es causada por una infeccn bacteriana y puede tratarse con los antblétices apropiados. El sangrado vaginal excesivo después del parto es poco comiin y requlere Intervencién veterinaria cuando se observa. Sin embargo, una pequea cantidad de pérdida de sangre (""manchado"") que dura 12.a 16 semanas o mas puede ser normal y generalmente no requiere tratamiento a menos que se plerda sangre excesiva,",es,872
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,32,"La falta de produccién de leche (agalactia) es poco comin en las perras, pero puede estar ‘asociada con un parto prematuro. Las perras que no praducen sufciente leche deben ser ‘examinadas por un veterinario para detectar otras enfermedades subyacentes. La presencia normal de calostro (un liquide claro y acuoso que se produce antes dela lactanclay que contiene mportantes anticuerpos) no debe confundirse con agalaxia. Los cacharros satsfechos que aumentan de peso diarlamente después de las primeras 24 horas son un buen indicador de que la produccién de leche es adecuada. Si es necesario, se puede estimular la produccién de leche ‘mediante inyecciones de oxitocina Sila produccién de leche es insuficiente, los cachorros podrian necesita alimentacién suplementaria,",es,771
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,33,napa merctvetmanus com/dog-onnerseproducive toner of dopemanagemento reproduction dogsPrebeme Atiocate,en,102
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,34,arms. ser Management of Reproduction Dogs -Dop Osners- Merck Veterary Manual,en,76
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,35,Para mas informacion,es,20
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,36,Ver también contenides profesionales sobre gestién dela reprodueclén,es,68
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,37,"& merck (© 2026 Merck &Co, Inc, Rahway. NEE, UU us filles, Todos les derechos reservados.",es,89
Management of Reproduction in Dogs - Dog Owners - Merck Veterinary Manual.pdf,38,nepsuvaua mertvetmanuaconidog oonereproduciedsrders odegsimanagementfrepreducionsndogstProblems-Asodted.. IS,da,108
