source_file,paragraph_id,text,language,length
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,1,"airs, 627° etabolsm oPlsons Special Pet Tops - Merck Veterinary Maral",en,69
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE ae Ww MERCK So,en,24
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Metabolismo de los venenos,es,62
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por Steve M. Ensley, DVM, PhD , Departamento de Anatomia y Fisiologia Facultad de Medicina Veterinaria, Universidad Estatal de Kansas",es,133
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,6,Revisado en octubre de 2020 | Modlficado en septiembre de 2024,es,62
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,7,"Los venenos pueden absorberse a través del tracto digestivo, lapel, los pulmones, los ojo, las ‘membranas mucosas (como las de la nariz 0 los ojo), las glandulas mamariasy el utero, ast como por los sitios de inyecci6n. Los efectos téxicos pueden ser locales, el veneno puede absorberse y propagarse através del torrente sangulneo. Algunos venenos se excretan por los riflones. Otras se excretan en la bilisy se acumulan en los depésitos de grasa. Y otros se excretan en la leche. En a mayarta de los casos, el cuerpo intenta desintoxicar el veneno. E| higado realiza la mayor parte del procesamiento metabélico que convierte los compuestas en formas que el cuerpo puede usar o excretar. Esto incluye la desintoxicacion de algunas sustancias. Desafortunadamente, cuando algunos venenos se metabolizan, los nuevos compuestos creados son mas toxicos que el compuesto original",es,873
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,8,Para mas informacion,es,20
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,9,+ Ver también contenides profesionales sobre el metabolismo de venenos en animales,es,82
Metabolism of Poisons - Special Pet Topics - Merck Veterinary Manual.pdf,10,npn merchvetmanualcon/spci petopepaisoningymetaboism-oF poisons,en,63
