source_file,paragraph_id,text,language,length
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,1,"aris, 7030 Frases in cats -Cat Ouners- Merck eternary Manual",en,60
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,2,MANUAL DE \Wmerck,de,17
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Parasitos en los gatos,es,58
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,5,"Por Mick Roman, DVM, MPH, Clinica Fetal de College Station Revisado por el personal de Manuals",es,94
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,6,Revisado en ogosto de 2025,es,26
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,7,"Los gatos pueden contraer pardsitos internos y externas. Los pardsitos internos comunes que afectan el tact digestivo incluyen ascarides, anquilostoras y tenias, que pueden transmitirse a través de las heces o de la madre a los gattos. Los pardsitos externos que se encuentran en la piel el pelaje incluyen pulgas y garrapatas. Los pequefos organismos unicelulares (protozo0s), as{ como las gusanas del corazdn , también pueden infectar alos gatos.",es,448
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,8,ara mantener a su gato a salvo de los pardsitos:,es,48
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,9,"‘© Revise regularmente los excrementos de su gato y hagalos analizar para detectar gusanos una vez a aflo 0 mas, especialmente si tiene gatitos 0 gatos que viven al aire libre y que pueden estar expuestos a parasites cuando salen,",es,230
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,10,‘© Limpie las cajas de arena con frecuencia y lavese las manos después de manipular desechos de gato.,es,101
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,11,‘+ Siga as recomendaciones de su veterinario para la prevencién y el tratamiento de pardsitos.,es,94
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,12,Pardsitos comunes de los gatos Parasito Transmision Efecto sobre la salud,es,73
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,13,Ingerir huevos de,af,17
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,14,Lombrices intestinales y _pardsitos en los Dajios al tracto digestive y,es,71
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,15,"anquilostomas excrementos o tragarlos _pérdida de nutrientes, ena leche materna",es,79
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,16,napa. erchvtmanuacon/et-omnecaringfrcatiprastesicats,ro,52
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,17,"ana, re Pareto Cats Cat arers- Merck eter Man Comer pulgas infectadas 0 Tenias pal Pérdida de nutrientes",ca,104
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,18,animales de presa,es,17
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,19,Duelas o gusanos pulmonares,es,27
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,20,Comer huéspedes acuaticos infectados (como caracoles),es,53
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,21,"Daftos a los pulmones, al higado o a los intestinos.",es,52
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,22,protozoos intestinales,es,22
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,23,Ingerir huevos de pardsitos en excrementos o presas infectadas,es,62
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,24,"Dajos al tracto digestivo; puede afectar a mujeres ‘embarazadas,",es,64
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,25,Gusanos del corazén,es,19
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,26,Ser picado por mosquitos infectados,pt,35
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,27,Daftos a los pulmones y al corazén,es,34
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,28,"Pulgas, garrapatas y dcaros",es,27
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,29,Contacto directo con animales infectados,es,40
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,30,"Daftos en la piel, picazén y posibles infecciones.",es,50
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,31,Cuterebra (un tipo de mosca bot),es,32
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,32,Contacto con larvas de moscas cerca de madrigueras de roedores co conejos,es,73
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,33,"Hinchazén debajo dela piel, posibles infecciones.",es,49
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,34,"EI control de parasitos es especialmente importante porque algunos pueden causar enfermedades en las personas. Por ejemplo, el pardsito que causa la toxoplasmosis puede transmitirse alos excrementos de los gatos. Las personas pueden exponerse al impiar la caja de arena de un gato infectado. Entre las personas con mayor riesgo de infeccién se encuentran las mujeres embarazadas, los nos pequefios y cualquier persona con un sistema inmunitario deblltado, como las personas con VIH o pacientes que reciben quimioterapia para el cancer. Consulte a su veterinario para obtener mas informacién.",es,591
Parasites in Cats - Cat Owners - Merck Veterinary Manual.pdf,35,napa mercivtmanuscon/eat-onerdcaringforcatiparattenincats,it,57
