source_file,paragraph_id,text,language,length
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,ans. 617M Protosenstizton in Dops-Oog Owners- Mec Veterinary Manual,en,67
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE \AMeRcK,de,17
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Fotosensibilizacién en perros,es,65
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por George M. Barrington, DVM, PhD, DACVIM-LAIM, Departamento de Ciencias Clinicas Veterinarias, Facultad de Medicina Veterinaria, Universidad Estatal de Washington",es,164
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en junio de 2018 | Modificado en septiembre de 2024,es,60
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"La fotosensibilizacién es una afeccién clinica en la que la piel es hipersensible ala lu2 solar; esta afeccin no es una quemadura solar, Clertas moléculas presentes en la piel se energizan con la luz, Cuando las moléculas vuelven a su estado de menor energia, la energia iberada provoca reacciones quimicas en la piel. La fotosensibilizacién puede ser difcl de distinguir de luna quemadura solar real.",es,401
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"La fotosensibilizacién suele clasficarse segtin la fuente del pigmento fotodindmico. Los tipos que se conocen en perros incluyen la fotosensibllidad primaria tipo I y la fotasensibilidad secundaria (tipo Il). Diversas sustancias quimicas presentes en plantas, hongos y bacterias pueden actuar como agentes fotosensibilizantes. La fotosensiblizacién también puede presentarse en perros con dafio hepatico causado por diversostipas de intoxicacion",es,445
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,"Los signos asociados con la fotasensibilidad son similares independientemente de la causa. Los perros fotasensibles se retuercen con aparente incomodidad al exponerse a la luz. Se rascan 0 frotan las zonas de piel expuestas y poco pigmentadas (por ejemplo, las orejas, los parpados o el hocico), La luz solar ntensa puede causar cambios cuténeos tipicos, incluso en animales de pelaje negro. El enrojecimiento se desarrollarapidamente y pronto se acompafia, de hinchazén, Sila exposicin a la luz se detiene en esta etapa, las anomalias desaparecen pronto. Cuando la exposicion es prolongada, se produce secreci6n de liquido, formacién de costras y muerte de la piel",es,665
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"Los signos se reconocen facilmente en casos de fotosensibilidad marcada, pero son similares a los efectos de las quernaduras solares en casos iniclales © leves. Al examinar a su mascota para detectar fotosensibilidad, su veterinario no solo examinara la piel, sino que también buscar signos de alguna de las enfermedades que puedan desencadenar esta afeccién. Podria ser rnecesario evalua las enzimas hepaticas y realizar blopsias hepaticas para determinar si su",es,462
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,-nepsonea merhvetmanuaconidog oaner/incsrders of dogulphotsenstation indogs,en,75
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,ams. 617M Protosensiztion in Dops-Oog Owners- Merc Veterinary Manual perro padece una enfermedad hepatica. También podtian realizarse andlisis de laboratorio. Su veterinario también le preguntara sobre el acceso de su perro a venenas y siha estado expuesto a raticidas u otras sustancias quimicas téxicas,es,304
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"El tratamiento consiste principalmente en aliviar los sintomas. Mientras la fotosensibilidad persista, las perros deben estar completamente a la Sombra o, preferiblemente, mantenerse fen interiores y salir solo durante la oscuridad. El estrés intenso de lafotosensibllidad y la ‘muerte extensa del telido cutaneo pueden causar enfermedades graves e incluso la muerte, Dependiendo del caso individual, los esteroides inyectables pueden ser Utes. Las infecciones cutdneas secundarias y la secrecin de liquids se tratan con técnicas estandar de manejo de heridas. Debe evitarse la exposicién a moscas, ya que el dafo cuténeo causado por la fotosensibllidad las atrae y puede provocar infestaciones de gusanos y enfermedades secundarias. Las anomalias cutdneas causadas por la fotosensibilidad clcatrizan notablemente bien, incluso después de un dafio extenso. El pronéstico para un perro depende de la Ubicacién y a gravedad de la lesion primariao la enfermedad hepatica, as! como del grado de cleatrizacion",es,1004
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,Ver también contenido profesional sobre. ibilizacién .,es,54
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,© MERCK ozs WEE Wye Ton nec sen,en,31
Photosensitization in Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,nepsuonea merhvetmanuaconidog oaner/incsrders of dogphotsenstzation indogs,en,74
