source_file,paragraph_id,text,language,length
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,1,"arms, room Psa Desrption of ats-Cat Owners Merc etrnary Manual",en,62
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Descripcion fisica de los gatos,es,67
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,5,"Por Mick Roman, DVM, MPH, Clinica Fetal de College Station Revisado por Laurie Hess, DVM, DABVP, Manual Veterinario MSD",en,119
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,6,Revisado en mayo de 2025,es,24
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,7,éLos gatos perciben las cosas como lo hacen las personas?,es,57
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,8,"Los gatos comparten los mismos cinco sentidas bdsicos que los humanos, pero difleren en funclén y sensibllidad. Algunos sentido felines son mucho més potentes que los humanos.",es,175
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,9,Vision,lt,6
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,10,"Los gatos tienen una visién excelente. Pueden ver mas detalles que los perras, lo que les ayuda a calcula bien la velocidad y la distancla, hablidades importantes para los cazadores. Con poca luz, los gatos ven seis veces mejor que las personas, por eso se suele decir que los gatos ven en la oscuridad,",es,303
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,11,Audiencia,es,9
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,12,"Los gatos también tienen mejor audicién que las personas e incluso que la mayoria de los perros. ‘Sus olds les ayudan a localizar sonidos, lo cuales ull para cazar. Cuando oyen algo, los gatos suelen girar la cabeza para averiguar de dénde proviene el sonido.",es,259
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,13,"Las estructuras especiales del olde interno que contribuyen al equilibrio estin muy desarrolladas en las gatos, lo que los hace muy dgiles. Pueden enderezarse rapidamente al caer, por eso se suele decir que siempre caen de ple.",es,227
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,14,Oler,no,4
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,15,"Eolfato de un gato es mucho mas potente que el de una persona, Aun asl, los gatas no dependen tanto de su olfato como otros animales. l igual que las personas, los gatos pueden ser exigentes",es,190
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,16,"npn merchvetmanua con/et onnerinrodutonto<asphypcs descripson oats What Do ats- Use Tei CamsF0r ADI086,",en,103
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,17,"arms, room PycalDesrpton of ats-Cat Owners Merck Veterinary Mana con los olores y a menudo intentan disimular los malas olores escarbandolos y enterrdndolas con las patas. El olfato también es importante para su sentido del gusto.",es,230
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,18,¢Para qué utilizan los gatos sus garras?,es,40
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,19,"Los gatos tienen almohadillas gruesas en las patas que les ayudan a agarrarse a diferentes superfiies. También tlenen garras aflladas y curvas que les ayudan a atrapar presas y defenderse. diferencia de los perros, los gatos pueden retraer las garras.",es,251
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,20,"Los gatos suelen arafiar muebles u otros materiales para mantener sus garras aflladas y eliminar las capas viejas que crecen. Proporcionarle pastes rascadores y cortarle las ufas regularmente puede ayudar a prevenir dafios en muebles y otras superficles. El carte debe hacerse con culdado para evtar cortar la zona sensible y rosada de la una, lamada “pulpa’, que contiene vasos sanguineos y puede sangrar mucho si se corta",es,423
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,21,"La desungulacién es un procedimiento quirirgica en el que se extraen los huesos y las garras de los dedos del gato, y no suele ser necesaria. En algunos estados de EE. UU, la desungulacion ests prohibida por considerarse inhumana. Consulte con su veterinario sobre alternativas ala ddesungulacién",es,296
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,22,éPor qué los gatos tienen pelo y bigotes?,es,41
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,23,"EI pelaje de los gatos protege su pil del sol, el fro, los arafazos y las picaduras de insectos.. También les ayuda a regular su temperatura corporal y mejora su sentido del tact.",es,179
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,24,"Los gatos tienen bigotes sensibles que les ayudan a determinar el tamafio de las aberturas, como los agujeros donde podrian esconderse roedores. También pueden erzar el pelaje para controlar su temperatura o como sefial de alerta cuando se sienten amenazades.",es,259
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,25,"Las distintas razas de gatos tienen distintostipos de pelaje.Algunos tlenen el peo largo (como los ppersas), mientras que otros lo tienen corto (como los abisinios).",es,165
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,26,"Los gatos mudan pelo durante todo el afio, pero la cantidad depende del cima, su dieta y su salud, Los gatos que viven al aire libre tlenden a mudar mas pelo en otofo y primavera. El estrés (como una visita al veterinario) también puede aumentar la muda. La muda excesiva 0 las zonas sin pelo podrian ser signos de enfermedad.",es,326
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,27,zQué tienen de especial los dientes y la lengua de un gato?,es,59
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,28,"Los gatos son carivoros, par lo que sus dientes son afilades y puntiagudos para capturar presas y comer carne. Tienen 26 dientes de leche que son reemplazados por 30 dientes permanentes",es,185
Physical Description of Cats - Cat Owners - Merck Veterinary Manual.pdf,29,"npn merchvetmanua con/et onnerinrodutonto<asphypcs descripson oats What Do ats- Use Tei CamsF0r ADI086,",en,103
