source_file,paragraph_id,text,language,length
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,1,"arms, Tov Proper Nutton for Cats-Cat Owners - Merck Veterinary Manval",en,69
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,2,MANUAL DE ae \A merck sa,hu,24
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Nutricién adecuada para gatos,es,65
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,5,"Por Mick Roman, DVM, MPH, Clinica Fetal de College Station Revisado por el personal de Manuals",es,94
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,6,"Revisado en julio de 2025 Asegurarse de que su mascota tenga una buena nutriién es crucial, aunque a menudo se pasa por alto, para ser un due responsable. Los gatos necesitan una dita rca en grasa y proteinas de alta calidad, junto con aminodcidos espectficos, como la taurina, que no se encuentran en la comida para perros ni en la comida para humanos. Los gatos deben consumir alimentos: comerciales y nutricionalmente equllibrados en lugar de dietas caseras, que suelen ser defcientes en vtaminas y minerales esenciales.",es,523
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,7,zCudles son los estandares nutricionales para los gatos?,es,56
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,8,I Subcomité de Expertos en Nutricin Felina de la Asaciaciin de Funcionarios Estadounidenses dde Control de Alimentos (AAFCO) ha establecido requisites nutrcionales basicos para los gatos.,es,187
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,9,El Conseja Nacional de Investigacin (NRC) ha creado perfilesnutricionales tanto para gatos como para gatos.,es,107
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,10,La Asociaci6n Mundial Veterinaria de Pequefios Animales (WSAVA) ofrece pautas para la nutricién|,es,96
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,11,de gatos y otros animales pequeios en todo el mundo.,es,52
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,12,"En Estados Unidos, el aimento para mascotas debe incluir una declaracién de adecuacién nutriclonal. Esta declaracién demuestra que el alimento proporciona una nutricién completa y cequillbrada para una etapa especifica de la vida, como el crecimiento, la reproduccién o el ‘mantenimiento en la edad adulta. Si el alimento no cumple con estos estandares, debe etiquetarse solo como premio o para consumo ocasional",es,412
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,13,Qué debo darle de comer a mi gato?,pt,34
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,14,hepsi merhvetmanuaconictonnersiseleting ane providing a home or-<alpopernutiiontorcastHon Oten Shout feed... d,en,110
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,15,"arms, Tov Proper Nutton for Cats-Cat Owners - Merck Veterinary Manval Los gatos son carnivoras, lo que significa que comen principalmente carne. Sin embargo, no ddeben ser alimentados solo con el tipa de carne que comemos los humanos. Existen muchos alimentos comerciales para gatos disefiados para proporcionar una nutrcion completa y equilbrada a gatos en diferentes etapas de su vida, induyendo gatitos, adultos y gatos mayores. Sin embargo, no todos los alimentos para gatos tienen la misma calidad",es,502
Proper Nutrition for Cats - Cat Owners - Merck Veterinary Manual.pdf,16,"Las marcas reconocidas suelen contar con investigacién cientifica y control de calidad. Su veterinario puede recomendarle una dieta adecuada para su gato,",es,154
