source_file,paragraph_id,text,language,length
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,1,"arr, 224M rowing aHome ora 09- bog Owners: Marck Veterinary Manual",en,66
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE \Wmerck,de,17
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Proporcionar un hogar para un perro,es,71
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Natalie Antinoff, DVM, DABVP (Préctica avian), Texas Avian & Exotic Hospital Revisado por Laurie Hess, DVM, DABVP,, Manual Veterinario MSD",en,142
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,6,"Revisado en junio de 2025,",es,26
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,7,zCuanto trabajo da un perro?,es,28
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,8,"Los perros son miembros de la familia que necesitan culdados durante toda su vida, o cual conlleva responsabilidades. Debera considerar los costos de alojamiento, alimentacion y atencién veterinaria, Esto incluye revisiones veterinarias regulares, vacunas, control de pardsitos (como la prevencién del gusano del coraz6n), tratamiento de enfermedades o lemergencias y cuidado dental",es,382
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,9,"Una ventaja es que tener una mascota puede crear un fuerte vinculo entre las personas y los animales, lo que proporciona beneficios tanto sociales como para la salud. Tener una mascota puede ayudar a reducir el estrés, la presi6n arterial, la ansiedad y la depresin. Los perros ofrecen compania un sentido de propésito y amor incondicional, lo cual puede ser especialmente util para personas solitaria, mayores o con discapacidad. Tener una mascota también puede enseiar a los niflos sobre la responsabilidad y el culdado de los demas,",es,535
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,10,éNecesitaré una cama o una jaula para mi perro?,pt,47
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,11,"Los perros de interior comparten las casas de las personas y, a veces, sus muebles. Los cachorros pueden beneficarse de tener un espacio dedicado para descansar 0 dormir, generalmente una jaula, o que facta su adiestramiento. Muchos perros adultos tamblén se",es,258
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,12,nepsonwa merhvetmanuaconidog oanerilecing and proving eheme for dopirovdinghomeforadog,en,86
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,13,"arr, 224M Proving aHome fora D0q- Dog Owners- Merck Veterinary Manu sienten seguros en una jaula porque es su propio espacio. Qui2as también quieras conseguir luna cama cémoda para tu mascota,",es,192
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,14,zDebo mantener a mi perro afuera?,es,33
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,15,"Los perros de caza y guardianes suelen estar a aie libre todo el afo, Estos perros tienen necesidades especiales de refugio,aimento y compafila. Recuerde que los perros son animales sociales y no les gusta estar solos. Los perros que viven al are libre necesitan atencién e interaccién humana regulares para mantenerse sanos y feces, y para evitar problemas de comportamiento.",es,376
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,16,Necesidades especiales de los perros que viven al aire libre,es,60
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,17,Requisitos de refugio,es,21
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,18,© Los perros necesitan acceso a un refuglo limpio que los proteja del mal tiempo.,es,81
Providing a Home for a Dog - Dog Owners - Merck Veterinary Manual.pdf,19,"*# Los refugios deben ser lo suficientemente grandes para que el perro pueda ponerse de piey darse la vuelta,",es,109
