source_file,paragraph_id,text,language,length
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,1,"arms, 1220 Puppy Care-Dog Owes Merck Veterinary Manual",en,54
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK ®,en,20
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Cuidado de cachorros,es,56
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Natalie Antinoff, DVM, DABVP (Préctica oviar), Texas Avian & ExoUc Hospital Revisado en julio de 2025",es,105
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,6,"Los cachorros pueden separarse de su madre aproximadamente alas 7 u8 semanas de edad. En este momento, pueden alimentarse por sisolos. Ls cachorros necesitan muchos cuidados, como Visitas al veterinario, alimentacién, socializacén y entrenamiento.",es,247
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,7,éMi cachorro necesita vacunas?,es,30
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,8,"Los cachorros obtienen cierta inmunidad protectora contra las infecciones de sus madres al nacer yatravés de su leche. Las vacunas no son eficaces hasta que esta inmunidad se desvanece, porlo que es necesario vacunarlos con frecuencia (cada 2 0 3 semanas) hasta que tengan aproximadamente 4 meses. Dado que los cachorros son susceptibles a as infecciones hasta que reciben todas sus vacunas, deben mantenerse alejados de perros no vacunados o de perros cuyo estado de vacunacién se desconoce hasta entonces.",es,507
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,9,éMi cachorro tendré gusanos?,pt,28
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,10,"Los cachorros suelen tener lombrices intestinales, que pueden transmitiles a través de su ‘made. Por lo general, se les trata con medicamentos antiparasitarios como medida de precaucién unas semanas después del nacimiento. El veterinario revisaré las heces de su cachorro cada 2a 4 semanas hasta que tenga dos pruebas negativas consecutivas..",es,342
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,11,éQué debo darle de comer a mi cachorro?,pt,39
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,12,"Una nutrieién adecuada es crucial para los cachorres. Necesitan alimento especial para cachorros ue les proporcione suficientes calorias, grasas, proteinas, vtaminas y minerales para su crecimiento. Busque alimentos para cachorros con la eiqueta de la Asoclacién Americana de",es,275
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,13,tpt merchvtmanus com/dog anne! outine care dost pupoycaredow-De Tein My Puppy? MO208S480,en,88
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,14,"arms, 1220 Puppy Care-Dog Owes Merck Veterinary Manual Funclonarios de Control de Alimentos (AAFCO}, lo que significa que cumplen con clertos estdndares nutricionales. La mayorta de los perros alcanzan la edad adulta entre os 9 los 12 ‘meses, pera los perros de razas grandes y gigantes pueden tardar casi 2 afios en aleanzar la",es,328
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,15,"adultez. Dependliendo de la raza, una ve2 que los cachorros alcanzan la edad adulta, se les debe",es,96
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,16,‘cambiar el alimento para cachorros por alimento para perros adultos.,es,69
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,17,Los eachorras necesitan ser alimentados varias veces al dia cuando son jévenes para satistacer,es,94
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,18,las necesidades de su crecimiento. La cantidad de veces al dia que necesitan ser alimentados,es,92
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,19,"dismninuye con la edad, Los perros adultos generalmente se adaptan blen a una o dos veces al dia",es,96
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,20,Programa de alimentacién para cachorros Edad Numere ge comicas Tipo de comida diarlas 6-12 semanas 4 Dieta para cachorros 346 meses 3 Dieta para cachorros 6-12 meses 2 Dieta para cachorros Mayor de 12 meses 102 Adult diet,es,221
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,21,éCémo entreno a mi cachorro?,pt,28
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,22,"Loprimero que debes hacer con tu cachorra es entrenarlo para que no haga sus necesidades en casa. Empieza pronto y enséfiale dénde iral batio. Con pacienciay constancia, esto suele llevar solo unas semanas. Al principio, sScalo varias veces al diay eldgialo cuando haga sus necesidades.",es,286
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,23,"‘Amedida que los cachorros crecen, pueden pasar més tiempo sin hacer sus necesidades y no necesitardn salir tan a menudo.",es,121
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,24,Momentos en los que los cachorros van al bafio de forma natural,es,63
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,25,+ Aprimera hora de la maftana * Lo itime dela noche,it,51
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,26,+ Después de a comida,es,21
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,27,+ Después de beber mucha agua,ca,29
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,28,*# Después de despertar de una siesta + Después del juego,ca,57
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,29,Durante la noche (para cachorros muy pequefios),es,47
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,30,tpt merchvtmanus com/dog anne! outine care dost pupoycaredow-De Tein My Puppy? MO208S480,en,88
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,31,"arms, 1220 uppy Care-Dog Owes Merck Veterinary Manus! ‘Ademas de aprender dénde ir al bao, todos los perros deben aprender érdenes basicas como 'sentado’, “quieto"" y ""ven"", La socializaci6n también es importante, especialmente entre los 2y los 4 meses. Interactuar con personas y otros animales les ayuda a acostumbrarse a nuevas personas y experiencia, y puede prevenir miedos 0 problemas de comportamiento en el futuro.",es,421
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,32,"Hay muchos recursos disponibles para el entrenamiento,incluyendo libros y clases locales para cachorros.Algunas clases aceptan cachorros desde las 8 semanas de edad, siempre y cuando estén vacunados. El entrenamiento es una forma dlvertida de conectar con tu perro ensefarle ‘buenos modales. Consulta con tu veterinario sobre los recursos de entrenamiento",es,355
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,33,recomendades.,pt,13
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,34,tpt merchvtmanus com/dog anne! outine care dost pupoycareHow-De Trin My Puppy? 02085480,en,87
Puppy Care - Dog Owners - Merck Veterinary Manual.pdf,35,"_ Rahway, NEE UU-y Sus flales. Todos los derechos reserva.",es,58
