source_file,paragraph_id,text,language,length
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,ams. 618rM Pyoderma in Dogs- bog Owners- Marck Veterinary Manual,en,64
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE \AMeRcK,de,17
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Pioderma en perros,es,54
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Karen A. Mariella , DVI, DACVD, Departamento de Ciencias Médicas, Facultad de Medicina Veterinaria, Universidad de Wisconsin-Madison",es,136
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en junio de 2018 | Modificado en septiembre de 2024,es,60
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"Pioderma significa lteralmente ""pus en la piel"". Puede ser causada por una infeccién, Inflamacin 0 cancer y es comin en los perres.",es,131
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"La mayoria de los casos de ploderma son causados por infecciones bacterianas. La mayoria de estas son superficales y secundarias a diversas afecciones, como alergias 0 pardsitos. La ploderma que se presenta en animales por lo demas sanos suele resolverse por completo con las antibiticos adecuados. Las zonas célldas y hiimedas de la piel, como los pliegues labales, faciales, axils, patas y cuelo, suelen presentar una mayor concentracién bacteriana que otras zonas y presentan un mayor riesgo de infeccién. Los puntos de presién, como los codos, son propensos a infecciones debido a la presién repetida, Cualquler enfermedad cutinea que transforme un entorno narmalmente seco y desértico en uno més himede puede causar una colonizacién excesiva de la plel por bacterias.",es,772
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,"El signa mas comin de pioderma bacteriana es la descamacién excesWva. Las escamas a ‘menudo estan perforadas por pelos. La picazén es variable. En los perros, la pioderma superficial comdnmente aparece como parches de calviie, ronchas alrededor de los pelos y costras. Las razas de pelo corto a menudo tienen miiiples ronchas que se parecen ala Urticaria porque laiflamacién dentro y alrededor de los foliculos hace que los pelos se ‘mantengan més erizados. Estos pelos a menudo se eliminan faclmente, lo que distingue la ploderma de la urticaria. La pérdida de pelo conduce a pequefios parches de calvcie en las reas afectadas. En los margenes de la pérdida de pelo, puede haber enrojecimiento y ronchas, pero estos signos a menudo estén ausentes en las razas de pelo corto. Los signos de ploderma profunda en perros incluyen dolor, costras, olory secreciones de sangre y pus. También se pueden observar enrojecimiento, hinchazén, uiceracién, costras y ampollas. E1 puente del hocico, el mentén, os codos, los corvejones, las rodills y los espacios entre fos",es,1059
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,nepsoowa merhvetmanuaconidog oomeriin sr ders of doglpyeserma in-ags 12,af,71
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,"ams. 618rM Pyoderma in Dogs- bog Owners- Marck Veterinary Manual dedos son mas propensos a sufririnfecclones profundas, pero cualquier zona puede verse afectada,",es,161
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"El dlagnéstico se basa en los signos. El dlagnéstico de ploderma también debe incluir medidas para identiicar las causas subyacentes, como pulgas, alergia, hipotiraidismo, enfermedad de Cushing y mal aseo. Se requleren miitiples raspados profundos de la plel para descartar Infecciones parasitarias. También se pueden realizar cultivas bacterianos y ingicas.",es,358
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"Las causas mas comunes de piaderma bacteriana recurrente incluyen la fata de tratamiento de las causas subyacentes, el uso de glucocorticoides y el tratamiento inadecuado con antibiéticos recetados. Sino sigue cuidadosamente las instrucclones de tratamiento de su veterinario, podria contribuir ala recurrencia de la pioderma en su perro. Aunque su perro pparezca estar mejor después de solo unos dias 0 una semana, es fundamental que continue con el tratamiento prescrito durante todo el tiempo indicado. Las bacterias que causan la ploderma pueden seguir presentes y listas para multiplicarse de nuevo sino se administra el tratamiento completo,",es,647
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,"El tratamiento con antibiéticos debe durar al menos 3 semanas, preferiblemente 4, Todos los signos (excepto el recrecimiento del cabello y la resolucin del aumento de la pigmentacin) ddeben haber desaparecido al menos 7 dias antes de suspender los antibiéticos. Las plodermas prolongadas, recurrentes 0 profundas suelen requerir de 8 a 12 semanas 0 mas para sanar por completa. En algunas casos, también se pueden usar antibiéticos tépicos.",es,440
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,"Laatencién al aseo es crucial. En perros con ploderma profunda, se debe cortar el pelaje, yen perros de pelo medio a largo con pioderma superficial, se recomienda una peluquerla, profesional. Esto eliminara el exceso de pelo que puede acumular residuos y bacteria, y facitaré el aseo.",es,284
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,"Los perros con ploderma superficial deben bafarse con un champ recomendado por su veterinario. Los bafos deben administrarse de 2 a 3 veces por semana durante las primeras 2 ‘semanas de tratamiento y luego de 1 a 2 veces por semana hasta que lainfeccién desaparezca. Los perros con ploderma profunda pueden requeri bans diarios con champuis medicados dlluidos a la mitad 0 un cuarto de su concentracién. El champ eliminara bacterias, costras y lescamas, y reducira la picaz6n, el olor y la oleosidad. Es posible que la mejorfa no sea evidente hhasta pasados al menos 14a 21 dias, la recuperacion podria no ser tan répida como se espera. Su veterinario puede recamendar el programa de bao adecuado para la condicién de ‘su mascota. Los champiis medicados generalmente deben permanecer en el pelaje durante 10 ‘minutos para ser efectivs.",es,835
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,17,Ver también contenido profesional sobre ploderma -,es,50
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,18,nepsoowa merhvetmanuaconidog oomeriin sr ders of doglpyeserma in-ags,af,68
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,19,ams. 618m Pyoderma in Dogs- bog Owners- Merck Veterinary Manual,en,63
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,20,"& merck © 2026 Merck C, ne, Rahway. NJ EE. Uy Sus ilaes Teds ls derechos reservados.",en,84
Pyoderma in Dogs - Dog Owners - Merck Veterinary Manual.pdf,21,nepsowva merhvetmanuaconidog oamerlin sr ders of doglpyeema indags,nl,66
