source_file,paragraph_id,text,language,length
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,1,"arms, roa Routine Heath Cae of ats-Cat Owners Merck eterinay Manual",en,67
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,2,MANUAL DE,de,9
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,3,Woerck a,en,8
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,4,Manual veterinario,ro,18
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,5,thy VERSION PARA DUENOS DE MASCOTAS Cuidado rutinario de la salud de los gatos,es,78
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,6,"Por ick Roman, DVM, MPH, Clinica Fetal de College Station Revisado por el personal de Manuals Revisado en agosto de 2025",es,120
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,7,"El culdado médico rutinario es el culdado regular que tu gato necesita para mantenerse sano a lolargo de su vida Esto Incluye visitas al veterinario para vacunas, control de pardsitos, cuidado dental adecuado, una buena nutrilén, aseo y proteccién contra los peligros del hogar.",es,278
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,8,zCon qué frecuencia debo Ilevar a mi gato al veterinario?,it,57
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,9,"‘© Gatos adultos: deben acu al veterinario para un chequeo completo al menos una ver al ato,",es,92
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,10,"‘© Gatitos: Necesitan vsitar al veterinario cada 30 4 semanas hasta que tengan aproxlmadamente 6 meses de edad,",es,111
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,11,"‘= Gatos mayores (de mas de 8 a9 aflos): Deben acudir al veterinario dos veces al aio ‘con mayor frecuencia. Los gatos mayores son més propensos a enfermarse, por lo {que es importante detectar los problemas a tiempo. Su veterinario podria sugerir analisis de sangre periédicos para detectar signos tempranos de enfermedades erénleas,",es,334
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,12,"‘+ Gatos enfermos: situ gato parece estar mal, évalo al veterinario de inmmediato,",it,82
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,13,Qué vacunas necesita mi gato?,it,29
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,14,"Las vacunas son cruciales para todos los gatos, ya Sea que vivan dentro o fuera de casa. La Asociacion Americana de Hospitales de Animales y la Asociaci6n Médica Veterinaria Felina han ppublicado directrices para la vacunacién de gatos, Su veterinario le recomendard las vacunas",es,278
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,15,"nepsuoa merhvetmanua coniet onnersicting fr ctsoutne heath cave catstDoes My Cat Nee ts Teeth Brushed? 102882840,",en,113
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,16,"arms, roa Routine Heath Cae of ats-Cat Owners Merck eterinay Manual necesarias segan su lugar de residenciay el estilo de vida de su gato. Consulte también el tema “Cuidado de Gatitos"" para obtener mas informacién sobre la vacunacién en gatites.",es,245
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,17,"Es posible que se necesiten vacunas de refuerz0 a lo largo de a vida del gato para garantizar su proteccién continua, Su veterinario puede aconsejarle no solo sobre las vacunas que necesita su gato, sino también sobre cudndo administrarles vacunas de refuerzo.",es,260
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,18,"_Aigunos efectos secundarios, como dolor o febre leve, son normales después de las vacunas, pero las reacciones alérgicas graves son poco frecuentes, Clertos tumores pueden desarrallarse después de la vacunacién, pero también son muy poco frecuentes, por lo que se han realizado varios cambios en la forma en que se elaboran y administran las vacunas para abordar este posible problema",es,385
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,19,éMi gato necesita que le cepillen los dientes?,es,46
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,20,"Los gatos necesitan culdado dental durante toda su vida. Puedes ayudar a mantener sus dientes y encias sanos cepillindolos y programande limpiezas dentales regulares con el veterinario, Un buen culdade dental ayuda a prevenir la acumulacién de placa, que puede provacar enfermedades de las enciasy la pérdida de dientes.",es,320
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,21,‘Su veterinario puede aconsejarle sobre cémo cepillar los dientes de su gato y si es necesario realizar otros culdados bucales.,es,127
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,22,Consultee! tema Trastornos dentales de ios gatos para obtener mas informacién.,es,78
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,23,zCémo sé si mi gato esta enfermo?,pt,33
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,24,"“Ti conoces mejor a tu gato, asf que presta atencién a cualquier cambio en su comportamiento, como si esté menos activo 0 més de lo habitual. Los signos comunes de enfermedad incluyen:",es,184
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,25,‘+ No comer,pt,11
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,26,‘+ Vomit (nclidas frecuentes bolas de pelo),es,43
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,27,'* Diarrea o heces durasy secas,es,31
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,28,‘+ Aumento dela sed y miccién frecuente,es,39
Routine Health Care of Cats - Cat Owners - Merck Veterinary Manual.pdf,29,+ Toso sibilancias,it,18
