source_file,paragraph_id,text,language,length
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,1,"arms, 648 7m SalePoisoning Speci et Topcs-Merck Veterinary Manual",en,65
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE \AMeRcK,de,17
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Envenenamiento por sal,es,58
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por Larry. Thompson, DVM, PhO, DABVT, Nestlé Purina PetCare Revisado en octubre de 2020 | Modlficado en septiembre de 2024",es,122
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,6,"La toxicidad por sal (loruro de sodio) puede ocurrir cuando los animales consumen ‘demasiada sal y no tienen suficiente agua para beber. La toxicidad por sal esta directamente relacionada con el consumo de agua y es improbable si se dispone de agua potable fresca Fallas mecanicas en los bebederos, el hacinamiento, el sabor desagradable del agua medicada, ln entorno nueva o el agua congelada pueden provocar que los animales no beban suficiente ‘agua. Los signos generalmente afectan el tracta gastrointestinal y el sistema nervioso central Analizar la sangre y el liquide cefalorraquideo para determinar los niveles de sodio ayuda a confirmar el dlagnéstico. Los cambios tisulares caracteristicos en el cerebro y el analiss del contenido de socio en el alimento o el agua también son titiles para establecer el diagnéstico.",es,826
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,7,"[No existe un tratamiento especifico El alimento o el agua causantes deben retirarse de Inmediato. Se debe proporcionar agua fresca,incialmente en pequefias cantidades y con frecuencia. Beber grandes cantidades de agua puede empeorar los signos neurolégicos debido 2a acumulacién de iquido en el cerebro. Los animales gravemente afectados deben recibir ‘agua por sonda gastrica, La tasa de mortalidad puede superar e! 50% independientemente del tratamiento. En perros y gatos, la administracién lenta de liquidos puede ser iti",es,526
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,8,Para mas informacion,es,20
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,9,ease también el contenido de salud profesional sobre la intoxicacién par salen animales,es,87
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,10,SBR omer cay ys a nv acco,en,25
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,11,nepsowua mertvetmanualconispecia pet oples/paiscninglat paoning 2,en,65
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,12,"arms, 648 7m SalePoisoning Speci et Topcs-Meck Veterinary Manual",en,64
Salt Poisoning - Special Pet Topics - Merck Veterinary Manual.pdf,13,nepsuua mertvetmanuaconispecia pet oples/paiscninglat pening,ca,60
