source_file,paragraph_id,text,language,length
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,1,"arms, Tov ‘Seecting a Cat-Cat Omer - Merck Veterinary Manal",en,59
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,2,aeHe merc G,en,11
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Seleccionar un gato,es,55
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,5,"Por Mick Roman, DVM, MPH, Clinica Fetal de College Station Revisado por el personal de Manuals",es,94
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,6,Revisado en julio de 2025,es,25
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,7,zEs un gato la mascota adecuada para mi?,es,40
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,8,"Como mascotas, los gatos suelen requerir menos atencién y actividad que los perros. Esto los hhace ideales para personas con un estilo de vida aetreado, espacios reducidos (como apartamentos) 0 movilidad reducida.",es,213
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,9,"Los gatos se diferencian de los perros en su comportamiento e interaccién. Mientras que los pperros son animales sociales que disrutan de la compania humana, los gatos suelen ser mas Independientes y a menudo prefieren estar solos. Sin embargo, algunos gatos viven en grupos y pasam la mayor parte del tiempo juntos, y muchos gatos criados con humanos buscan la compania humana.",es,378
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,10,"Como los gatos suelen pedir atencién a su manera, algunas personas plensan que son ntipatics. Sin embargo, muchos gatos son muy carifosos y buscan el carlo de sus duefios,",es,171
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,11,"Los gatos demuestran su carin ranroneand y frotindase contrat. También se frotan la cara contra objetos para marcarles con glandulas odoriferas. Un gato temeroso podria arquear el lomo, erizar el pelaje, bufar o escupir.",es,220
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,12,"El ronroneo es solo una forma de comunicacién de los gatos. Cuando emiten sonidos suaves, ppodrian querer atencién, Cuando emiten sonidos fuertes, podrian estar molestos o necesitar algo urgentemente.",es,200
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,13,"Cuando las gatas (llamadas reinas) estan lstas para reproducise (""en celo""), pueden ser especialmente vocales.",es,110
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,14,ntpsonua merhvetmanua conic onnersiseleting ane providing a hometoracausalecting wat,en,84
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,15,"arms, Tov Seetng a Cat-Cat Owners - Merc Veternary Manual",en,57
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,16,zQué razas de gatos existen?,es,28
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,17,Gato mostrando afecto,pt,21
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,18,"Al elegir un gato, concéntrese mas en su personalidad y comportamiento que en su ‘apariencia. Los gatos mestizos suelen describirse por la longitud y el color de su pelaje. Puede encontrar gatos de pelo corto, ‘mediano y largo en colores como grs, negro, ‘marrén, blanco, calicé (una mezcla de ‘manchas de blanco, naranja y negra) y carey (una combinacién de colores como naranj crema o negro, todos mezclados, en lugar de ser irregulares)",es,439
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,19,"Hay muchas razas de gatos diferentes, y cada Una tiene caracteristicas Unicas. Si busca un gato de raza pura, le recomendamos informarse sobre la raza en particular 0 consultar con su veterinario 0 un criador experimentado.",es,223
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,20,eDeberia tener un gato macho o hembra?,es,38
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,21,"Tanto los gatos machos como las hembras pueden ser excelentes mascotas una ve2 esterlizados. (La cirugia para evitar la reproducci6n se denomina esterlizacién en las hembras, y castracion en los machos). Todos los gatos deben ser esterlizados, a menos que estén destinados a la reproduccién, El comportamiento de los gatos machos y hembras esterilzados es muy similar.",es,368
Selecting a Cat - Cat Owners - Merck Veterinary Manual.pdf,22,"Laesterilizacién previene la aparicién de gatitos no deseados y disminuye ciertos riesgos para la salud de las hembras, como el céncer. La esterlizacién de los gatos machos puede ayudar a disminuir comportamientos como deambular y marcarterritorio con orina. La esterlizacién también disminuye el fuerte olor de la orina de los gatos machos.",es,341
