source_file,paragraph_id,text,language,length
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,1,"arms, 649m Spider tes Speci et oplcs- Merck Veterinary Manual",en,61
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE \AMeRcK,de,17
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Picaduras de aranha,pt,55
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por DUM, PhO , Departamento de Patobiologia, Facultad de Medicina Veterinaria, Universidad de Auburn",es,100
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,6,Revisado en octubre de 2020 | Modlficado en septiembre de 2024,es,62
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,7,"Las pleaduras de arahas venenosas son relativamente poco frecuentes y dificlles de reconacer. En EE. UU, la picadura de araftas de importancia médica no es particularmente dolorosa, por le que es inusual sospechar de una picadura de arafa hasta que aparecen los siatomas. También es improbable que la arafla agresora permanezca cerca dela victima mientras ‘aparecen los sintomas, lo que puede tardar entre 30 minutos y 6 horas. En EE. UU, las aranas vvenenosas pertenecen a dos grupos: arafias viudas (especie Latrodectus)y arafas pardas (principaimente especie Loxosceles).",es,574
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,8,Arafias viudas,lt,14
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,9,"Las arafas viudas suelen picar solo cuando se las toca accidentalmente. La especie mas comin la arafia viuda negra, que tlene una forma roja de relo} de arena en la parte inferior del abdomen, Su veneno es muy potente y causa calambres intensos y dolorosos en todos los grupos musculares grandes.",es,296
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,10,"‘A menos que se haya presenciado una picadura de arafia viuda negra, el diagnéstico debe basarse en os signos, que incluyen inquietud, ansiedad, respiracién rapida e irregular, shock, ‘abdomen rigido 0 sensible y dolor muscular. Los misculos pueden estar rigidosy relajarse ‘ocasionalmente.",es,290
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,11,"El tratamiento sintomatico incluye analgésicos y relajantes musculares. También se debe administra antitoxina teténica, La recuperacin puede tardar un tiempo, y la debilidad y la pardlisis parcial pueden persistir durante varios dias.",es,234
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,12,nepsueu merchvetmanualcon/specipettops/paioning/pier tes,it,56
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,13,"arms, 649m Spider Bes Speci et opcs- Merck Veterinary Manual",en,60
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,14,Arafias marrones,es,16
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,15,"Existen al menos 10 especies de arafias pardas en Estados Unidos, pero la araha reclusa parda (Loxosceles retusa ) es la mas comdn. La mayoria de estas arafa tienen una marca en forma de violin en la parte superior del cuerpo, aunque puede ser indistinta 0 incluso estar ausente fen algunas especies. El veneno de la arafa reclusa parda provoca el estrechamiento de los vasos sanguineos, lo que aumenta la presién arterial y disminuye el flujo sanguinea, También causa codgulos sanguineos y la destruccién de globules ros.",es,522
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,16,"‘A menos que se haya presenclado una picadura de arafia marrén, un diagnéstico presuntivo puede basarse en la presencia de una mancha discreta,roja y con picazén enla piel, que puede sangrar hacia eltejido circundante. En un plazo de 4 a 8 horas, se forma una ampolla en la herida de la picadura y, a veces, una zona palida rodea el enrojecimienta de la lesi6n, de ‘modo que parece un ""ojo de buey’. I rea central a veces se ve pilida o tiene un tinte azulado, La ampolla puede convertirse en una laga de curacién lenta que puede agrandarsey lextenderse alos tejidos subyacentes,incluido el mdsculo. En ocasiones, la ampolla puede elevarse, lenarse de pus y luego romperse, dejando una costra negra, La zona afectada puede tardar meses en sanar.",es,745
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,17,"Es posible que no aparezcan otros signs hasta 30 4 dias después de la picadura. Estos Incluyen destruccién de glébulos rojos, coagulacién sanguinea anormal, lebre, vomitos, sangre ena orina, insuficiencia renal y shock.",es,219
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,18,"1 tratamiento temprano puede ser eficaz, pero lamentablemeente, muchos casos no se detectan hasta que el dafio cuténeo se ha extendido. El tratamiento en esa etapa es menos ceficaz, pero aun puede ayudar. La extirpacin quindrgica dela herida es de dudosa eficacia, ‘Ademas de compresas frias y medicamentos para prevenir lainfecci6n, su veterinario podria recomendar la vacuna contra el tétanos.",es,395
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,19,Para mas informacion,es,20
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,20,Ver también contenido de salud profesional respecto a plcadutas de arafias en animales,es,86
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,21,"& merck © 2026 Merck C, ne, Rahway. NJ EE. Uy Sus ilaes Teds ls derechos reservados.",en,84
Spider Bites - Special Pet Topics - Merck Veterinary Manual.pdf,22,nepsuouu merchvetmanualconispeipettops/pioning!pier tes,it,55
