source_file,paragraph_id,text,language,length
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,1,arms. 638m ‘Therapy andSerce Animals Speci et Topkcs-Merck veterinary Manval,en,76
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Animales de terapia y servicio,es,66
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,5,"Por Natalie Antinoff, DVM, DABVP (Préctica oviar), Texas Avian & ExoUc Hospital Revisado por el personal de Man",es,111
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,6,Revisado en septiembre de 2025,es,30
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,7,Qué son los animales de terapia?,es,32
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,8,"Los animales entrenados para brindar consuelo y apoyo alas personas se denominan animales de terapia. A medida que la sociedad comprende mejor los beneficos para la salud del vinculo entre humanas y animales, e! uso de animales de terapla prineipalmente perros) se est volviendo mas comin. Las personas enfermas  mayores pueden beneficiarse enormemente de la interacclén con animales de terapla, y muchos dueios de mascotas ofrecen su tiempo y ‘mascotas como voluntarios en centros de recuperacién o residencias de anclanos. Existen estrictos programas de entrenamiento formal para animales de terapia y sus duetios para garantizar que brinden un apoyo eficaz.",es,660
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,9,"Los profesionales de la salud mental, incluyendo psicélogos y terapeutas,incorporan cada vez ‘mds la nteraccién con animales en los planes de tratamiento de sus pacientes. Algunos centros de salud mentale incluso prisiones ofrecen terapla asistida con animales.",es,261
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,10,Qué son los perros de servicio y de trabajo?,es,44
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,11,"Los perros entrenados para asisti a personas con discapacidad se denominan perros de servicio, Si bien su funcién en la asistencia a personas con problemas de vsién es bien conocida, los perros de servico también pueden ayudar a personas con pérdida audit, dficultad para ‘moverse y otras discapacidades. incluso pueden ser entrenados para detectar eventos médicos, como convulsiones o cambios en los niveles de azdicar en sangre, antes de que estos ocurran, lo {que puede salvar la vida de personas con trastornos conwulsivos o diabetes.",es,538
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,12,apt merchvtmanus on/p pet opcueakh adhe hun anim bondtherepy and evant We Ther A,en,80
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,13,"arms. 6s8m ‘Therapy and Serica Animals Speci et Topics-Meck Veterinary Manual Los animales de servicio no sola sirven a personas con discapacidades fisicas. También atienden a personas con problemas de salud mental. Por ejemplo, algunos perros de servicio estan lentrenados para ayudar a personas con esquizofrenla,trastorne bipolar, ansiedad o autsmmo. Un perro de servicio entrenado puede calmar a una persona con autismo o tranquilizarla durante na crisis de salud mental. l vinculo a largo plazo que se desarrolla entre un perro de servicioy su duefio también puede ser sanador.",es,582
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,14,"Los perros de trabajo ayudan ala policia a los oficiales miltares en tareas como la busqueda y el rescate ola deteccién de drogas y explosives. ‘Mucha gente recuerda el importante papel que desempefiaron los perros de trabajo en Estados Unidos tras os atentados del 11-5. Sin embargo, también prestan asistencia diaria a la polica ayudando a capturar delincuentes, trabajando len aeropuertos  realizando otras tareas.",es,417
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,15,perro de servicio,es,17
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,16,"Eladiestramiento de perros de servicio y de trabajo requiere mucho tiempo y dinero, Los culdadores de perros de servicio desarrollan fuertes vinculos emocionales con sus perros, y a ‘menudo pasan todas sus horas de vigila juntos, ‘Aunque algunos perros de trabajo pueden alojarse en alojamientos separados de sus culdadores cuando estos no estén de servicio, ‘muchos viven con ellos y sus familias.",es,398
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,17,"© merck (© 2026 Merc & Co, Inc, Rabway, NJ, EE. UU. y us filles, Todos los derechos reservados.",es,95
Therapy and Service Animals - Special Pet Topics - Merck Veterinary Manual.pdf,18,tpt merchvtmanus con/epci pet opeueakh adhe hun anim bondherepy and evant Ae Ther A,en,83
