source_file,paragraph_id,text,language,length
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,ams. 619m “Tks of Bops-Oog Owners- Merck Vetennary Manual,en,57
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE \AMeRcK,de,17
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Garrapatas de los perros,es,60
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Karen A. Mariella , DVI, DACVD, Departamento de Ciencias Médicas, Facultad de Medicina Veterinaria, Universidad de Wisconsin-Madison",es,136
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,Revisado en junio de 2018 | Modificado en septiembre de 2024,es,60
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"Las garrapatas son pardsitos hematéfagos que se adhieren a animales y personas. Una vez adheridas a un huésped, se alimentan vorazmente. Al alimentarse, pueden transmit ‘numerosas enfermedades, como la fiebre maculosa de las Montarias Rocosas, la ehrlichiosis, la fiebre Qy la enfermedad de Lyme. También liberan toxinas que queden dafar asus ‘hudspedes . Las heridas en la plel causadas por garrapatas pueden provocar infecciones bacterianas secundarias e infestaciones del gusano barrenador. Las infestaciones graves por garrapatas pueden causar anemia ¢ incluso la muerte.",es,575
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Técnicamente, as garrapatas no son insectos. Son ardcnidos y estan emparentados con las arafias y los dcaros. Existen numerosas especies de garrapatas pertenecientes a tres familias, blolégicas. La familia Ixodidae (comiinmente conocidas como garrapatas duras) contiene mas de 650 especies, mientras que la sigulente familia mas grande, Argasidae (garrapatas blandas), contiene alrededor de 185 especies en cuatro géneros (Argos , Cars , Ornithodoros y Otobius ).Cabe destacar que muchas garrapatas duras pasan més del 90 9 de su vida fuera del hhuésped. Las garrapatas tienen cuatro etapas de vida: huevo, larva, ninfay adulto,",es,628
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,"Las garrapatas se encuentran en todo el mundo. Algunas se aimentan de animales espectics, aunque otras especies pueden alimentarse de muchas especies animales, incluyendo a los hhumanos. Su comportamienta hematéfago varia segun la especie. Las garrapatas pueden sobrevivir desde varios meses hasta varios aflos sin alimento si las condiciones ambientales lo permiten.",es,367
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"La mayoria de las especies de garrapatas tienen una zona de alimentacin preferida en el hhuésped, aunque en infestaciones densas, las garrapatas pueden adherirse a cualquier lugar donde encuentren un lugar para alimentarse. Algunas garrapatas se alimentan principalmente",es,270
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,nepsuonamertvetmanualconidog onmeriinsrder of dogs of dogs vu,en,61
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"26,6190 Ticks of Dogs-D09 Owmers- Merck Veternary Manus! en la cabeza, el cuello, los hombros y e pubis. En otras especies, os sti predilectos pueden ser las orejas, cerca del ano y debajo de la cola, o las fosas nasales.",es,221
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,El signo defintivo de una infestacién por garrapatas es su presencia en el animal. El Las plagas que molestan a contacto directo con garrapatas suele provocar tus mascotas: las.,es,177
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,luna infestacién. Los animales que pasantiempo _garrapatas,es,58
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,"al are libre, especialmente en zonas sivestres, se ven afectados con mayor frecuencia. Por lo tanto, entre os perros, las razas de caza o los perros {que vagan son los mas propensos a estar Infestados, aunque cualquier perro que pase tiempo al aire libre puede contraer garrapatas.",es,281
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,16,°,unknown,1
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,17,"(Otobius megnini es una especie de garrapata con tuna capacidad de acultacién excepcional. Estas garrapatas prefieren adherirse a las orejas de sus hhuéspedes y a menudo son pasadas por alto por los duenos de mascotas. Estas garrapatas se encuentran en zonas con escasas precipitaciones del oeste de Estados Unidos, México el oeste de Canad. Los perros y los humanos pueden sufri- wwe aaviway, Nj ee Ub. YsuS lrvtacion grave por infestaciones del canal FiLIALeS. TODOS LOS DERECHOS auditivo. Las toxinas de estas garrapatas pueden RESERVADOS. causar pardlisis. Se han reportado infecciones.",es,590
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,18,ssecundarias por larvas de gusanos barrenadores.,es,48
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,19,"Las garrapatas Otobius megnini pueden transmitir la fiebre Q, la tularemia, la flebre por garrapatas de Colorado y la flebre maculosa de las Montafias Rocosas.",es,159
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,20,"COPYRIGHT © 2023 MERCK & CO,",en,28
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,21,"El dlagnéstico se basa en la aparicién de marcas de picadura de garrapata en el perro la presencia del pardsito. Las garrapatas que han estado en un animal poco tiempo (desde una hhora hasta varios dias) tienen una forma plana. Las garrapatas que han estado en un animal durante dias tienen una forma mucho mas redondeada debido a la sangre que han consumido,",es,359
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,22,"Las garrapatas deben eliminarse lo antes posible para minimizar las enfermedades y los dafos. Para ello, utlice pinzas para sujetar con culdado la garrapata cerca de lapel y tire suavemente. ‘Nunca intente extraer una garrapata con las ‘manos desnudas, ya que algunas enfermedades, transmitidas por garrapatas (por ejemplo, la",es,326
Ticks of Dogs - Dog Owners - Merck Veterinary Manual.pdf,23,ams. 619m “Tks of Bops-Oog Owners- Merck Veterinary Manual fiebre maculosa de las Montafas Racosas) pueden transmiticse inmediatamente a través de,es,146
