source_file,paragraph_id,text,language,length
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"2s, 620° ‘Whole-body Disorders hat fect the kin Dogs-Dop Overs Merck Veterary Manual",en,84
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE Ww MERCK,pl,18
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Trastornos de todo el cuerpo que afectan la piel de los perros,es,98
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Stephen D. White, DVM, DACVD, Universidad de California, Davis Revisado en junio de 2018 | Modificado en septiembre de 2024",es,127
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,"Varios trastornos que afectan a todo el cuerpo producen cambios en lapel. En algunos casos, estos camblos son caracteristicas de la enfermedad en particular. Sin embargo, a menudo los, signos no se asocian claramente con la afeccién subyacente y deben diferenciarse culdadosamente de los trastornos cutaneos primarios. Algunos de estos trastornos ssecundarios se mencionan brevemente a continuacién y también se describen en los capitulos dedicados a cada trastorno especitico",es,476
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,"Los trastornos de la piel pueden estar asoclados a deficiencias nutricionales, especialmente de proteinas, grasas, minerales, algunas vitaminas y ligoelementos. Sin embargo, esto es poco comdn en perros alimentados con dietas modernas y equilibradas. Los huskles siberianos, y ocasionalmente otras razas, pueden requerir zinc adicional en su dieta. Consulte a su veterinario sobre las necesidades dietéticas de su mascota para evitar problemas de salud relacionados con deficiencias nutricionales.",es,497
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"La dermatitis (inflamacién de la piel) a veces se asocia con trastornos de érganos internos, ‘como el higado, los rifones o el pancreas. La enfermedad hepatica y la diabetes pueden causar la muerte del teldo cuténeo superficial dermatitis necraltica) en perros mayores. Los signos de estas anomalias cuténeas incluyen enrojecimiento, formacién de costras, supuracion y pérdida de pelo en las almohaudilas plantares, la cara, los genitales y la part inferior de las patas, La enfermedad cuténea puede preceder a la aparicién de las signos de la enfermedad Interna. Cualquier anomalia persistente o creciente en la piel de su perro debe ser examinada por su veterinario. El diagnéstico temprano de la enfermedad ofrece la mejor probabilidad de Un tratamiento eficaz para su mascota.",es,780
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,tpt merchvtmanus com/dog onnertkindsardersodagewhalenody orders hatallecthe sini dogs,en,85
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"arms, 620% \holetbdy Disorders hat fect the kin Dogs-Dop Owners Merck Veterary Manual Un sindrome generalizado de piel abultada en pastores alemanes, y ocasionalmente en otras razas, se asocia con quistes renales. La intoxicacién por veneno para ratas, cornezuelo, (un hongo presente en el centena y otros cereales), mercurlo y yoduros puede causar dversas alteraciones cutdneas. En perros machos con tumores testiculares, se puede observar pérdida generalizada de pelo y picazén ocasional con erupciones cuténeas. Las perras no esterlzadas on desequilbrios hormonales suelen presentar picazén y erupciones cutaneas, ‘agrandamiento del tejido mamari y cclos estrales frecuentes. Los tumores cuténeos de ‘ambos trastornos pueden comenzar en a ingle o el flanco y extenderse hacia la cabeza,",es,789
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,"ELhipotiroidismo puede causar cambios en la piel, como disminucin del crecimiento del cabello caida del mismo. La piel se vuelve seca, escamosa, engrosada y con pliegues. Puede producirse una infeccién bacteriana secundaria. Los bordes de las orejas pueden presentar un cexceso de escamas El hipopituitarismoes una enfermedad congénita que se caracteriza por baja estatura y caida del cabello.£I hiperadrenocorticismo{aumento de la actividad de las slindulas suprarrenales; también llamado enfermedad de Cushing) también causa cambios en la piel, como oscurecimiento del color de la piel, caida del cabello, seborrea (caspa grasa), depésitos de calcio en a piel e infeccién bacteriana secundaria,",es,696
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,"En raras ocasiones, trastornos subyacentes del sistema nervioso pueden provocar cambios en la ple. Los signos suelen incluir rascado (a veces, “rascado en el aire""), dolor o autolesiones.",es,187
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"El tratamiento de todas estas afecciones depende de encontrar la causa especifica. Una vez establecida y tratada, la piel generalmente solo requiere atencién sintomatica, como el control del rascado, hasta que se normalice con la resolucién de la enfermedad primaria",es,266
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,\er también contends profesionales sobre dermatosis sistémicas,es,62
Whole-body Disorders that Affect the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,tpt merchvetmanus con/dog-omnerkindsardersodogewhalenody orders hatter the shina dogs an,en,88
