source_file,paragraph_id,text,language,length
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,1,"airs, 225° Route Hea Care of Dogs Dog Onners-Merck Veterary Manual",en,66
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,2,MANUAL DE \Wmerck,en,17
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,4,4h) VERSION PARA DUENOS DE MASCOTAS Cuidado rutinario de la salud de los perros,es,79
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,5,"Por Natalie Antinoff, DVM, DABVP (Préctica avian), Texas Avian & Exotic Hospital",en,80
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,6,Revisado en julio de 2025,es,25
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,7,"Mantener a tu perro sano implica mas que solo alimentario y ejerctario a diario. Para estar sanos, los perros necesitan revisiones veterinarias regulares, culdadas y un hogar seguro.",es,182
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,8,zCon qué frecuencia debe mi perro visitar al veterinario?,es,57
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,9,= Perros adult,pt,14
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,10,‘Al menos una vez a afo para un chequeo completo.,es,49
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,11,‘© Cachorros: Cada 3 a 4 semanas hasta los 4 meses de edad.,es,59
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,12,"+ Perros mayores (de mas de 7 a 8 afios): Dos veces al aho o mas, Dado que los perros mayores son més propensos a enfermarse, necesitan visitas al veterinario con més frecuencia, Su veterinario podria sugerir andlisis de sangre o radiografias, para detectar problemas de salud a tiempo.",es,286
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,13,zCémo puedo saber si mi perro esta enfermo?,es,43
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,14,‘Su perro podria estar enfermo si,es,33
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,15,© vomitos 0 diarrea «© rinar con mas 0 menos frecuencia de lo habitual,es,70
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,16,© toser 0 estornudar,es,20
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,17,nepsuoaua merhvetmanuaconidog oanersoutne are of dogsoutnehelbeae gs,en,68
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,18,"armas, 1225 Route Heath care of Dogs Bog Onners-Merck veteriary Manual ‘+ supuracin de liquido 0 moco por ls ojos, ofdos o nariz",en,128
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,19,"* pérdida de cabell, picazén excesiva o aparecen manchas rojas en la piel",es,73
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,20,"© Cojear 0 no apoyar el peso en una pierna Siu perro muestra alguno de estos signos durante més de uno o dos dias, es una buena idea programar una visita al veterinari.",es,168
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,21,zC6mo le doy medicamentos a mi perro?,es,37
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,22,"‘* Pastillas: Puedes esconder la pastila en un trozo de queso, mantequilla de cacahuete 0 una golosina. A veces, cerrarle la boca suavemente al perro hasta que se la trague puede ser at",es,185
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,23,"‘© Medicamento liquido: Use una jeringa para aplicar el medicamento en la parte posterior de la boca de su perro, cerca de los molares. Mantenga la cabeza de su perro ligeramente inclinada hacia arriba para evitar derrames.",es,223
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,24,"‘© Medicamentos tépicos: Apliquelos directamente sobre la pel o el pelaje de su perro (en la parte superior del cuello para que no se los lama). Para gotas oftalmicas 0 medicamentos para los olds, consulte con su veterinario.",es,225
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,25,"Lea y siga siempre las instrucciones de la etiqueta del medicamento,",es,68
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,26,éMi perro necesita vacunas?,es,27
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,27,Administrar medicamentos liquidos a un perro,es,44
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,28,"Las vacunas ayudan a proteger asu perro de enfermedades graves. Las vacunas basicas recomendadas por casi todos los veterinarios previenen enfermedades como el moquillo,e! parvovirus y la rabia, Las vacunas contra otras enfermedades, como la enfermedad de Lyme la infecclén por Bordetella, son importantes fen clertas zonas. Su veterinario le indicara qué vacunas necesita su perro segin su lugar de residenciay su estilo de vida.",es,430
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,29,© Vacunas de refuerzo: Se administran a,es,39
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,30,lo largo de la vida de tu perro para ‘mantenerlo protegido. Algunas vacunas solo necesitan refuerzos cada pocos,es,111
cuidados rutinarios- Dog Owners- - Merck Veterinary Manual.pdf,31,nepsuoaua merhvetmanuaconidog oanersoutne are of dogsoutnehelbeae gs a,en,70
